C02-1122 ==> H01-1043:0.9578, C04-1174:0.9563, W02-1608:0.9258, I08-2110:0.9224, P09-2052:0.8665, N06-1023:0.8437, I05-1005:0.8289, P06-1022:0.7841, D07-1032:0.7799, P02-1028:0.7798
I08-5013 ==> I08-5003:0.9620, W05-0402:0.9293, W10-4113:0.9236, W06-3801:0.9210, W07-0206:0.9193, I05-1078:0.9156, W06-0116:0.9130, N10-1110:0.9104, S10-1055:0.9067, L08-1021:0.9063
W14-5202 ==> W10-4149:0.9837, E14-4032:0.9146, D10-1066:0.9099, D10-1003:0.9019, D12-1095:0.8984, W10-4150:0.8957, N06-2031:0.8909, W05-0211:0.8893, W13-2303:0.8865, W10-4144:0.8858
C10-2095 ==> W14-3325:0.9238, W12-6219:0.9015, P13-1033:0.9010, P06-2122:0.9004, Q13-1027:0.8973, P09-2058:0.8969, W14-0313:0.8931, D09-1105:0.8889, D14-1016:0.8862, P14-1139:0.8857
P13-2135 ==> W12-3122:0.8950, W13-2243:0.8824, W13-2231:0.8789, S12-1104:0.8786, S12-1053:0.8662, S12-1065:0.8661, S13-2005:0.8632, S13-2023:0.8608, S12-1105:0.8577, S12-1103:0.8571
P14-2011 ==> P14-2012:0.8902, C10-5001:0.8870, N07-2025:0.8816, D10-1086:0.8809, W14-0618:0.8670, I08-1004:0.8649, P09-2092:0.8594, L08-1305:0.8579, W07-1019:0.8531, P11-1053:0.8501
W03-2911 ==> W09-3519:0.9484, W02-0710:0.9461, P10-1005:0.9460, W10-2419:0.9424, W09-3912:0.9415, C02-2013:0.9397, C00-1021:0.9388, W99-0108:0.9385, P05-3023:0.9382, W07-0202:0.9374
P09-1079 ==> D12-1013:0.8803, W10-0104:0.8731, W11-1721:0.8680, P08-2059:0.8672, C14-1127:0.8667, C10-2152:0.8576, P09-1001:0.8529, P14-2139:0.8504, W13-1616:0.8499, C10-1072:0.8450
W13-4049 ==> W13-3011:0.8071, W10-2912:0.8053, W13-2601:0.8036, W14-0505:0.8017, D13-1182:0.7988, W11-0601:0.7986, D14-1091:0.7984, P10-1117:0.7926, P12-1093:0.7918, C10-1060:0.7915
W10-0715 ==> W14-3363:0.9454, N12-1035:0.9395, W12-4213:0.9336, C10-1033:0.9335, W13-2211:0.9332, W14-4009:0.9329, W14-5815:0.9317, W14-3629:0.9300, D14-1003:0.9260, W12-0108:0.9249
E14-1005 ==> W11-1904:0.7972, P14-2006:0.7823, W11-1911:0.7755, W12-4513:0.7714, E14-4045:0.7666, C14-1003:0.7655, P14-2005:0.7652, W11-1908:0.7615, W11-1914:0.7572, W12-4509:0.7567
P04-1084 ==> P04-1083:0.9508, C02-1003:0.9044, N07-1019:0.8985, H05-1101:0.8770, C08-2026:0.8714, P11-1047:0.8603, J12-3008:0.8558, W07-0412:0.8263, W10-2502:0.8163, D13-1108:0.8136
L08-1085 ==> W11-0323:0.8937, P11-1035:0.8844, N09-3013:0.8826, J14-3003:0.8812, C14-1144:0.8809, L08-1620:0.8745, P06-1133:0.8726, P12-1105:0.8722, W13-1615:0.8712, W06-0306:0.8689
N10-1070 ==> C08-1007:0.9701, P07-1110:0.9701, C08-1017:0.9662, W06-1009:0.9620, N09-2007:0.9613, I08-6001:0.9498, J05-4003:0.9312, L08-1582:0.9259, I08-2104:0.8931, L08-1192:0.8866
P06-4017 ==> P05-1041:0.9699, W04-1901:0.9662, C04-1193:0.9566, W08-2204:0.9557, I05-6004:0.9489, W06-0608:0.9243, C10-1038:0.9226, P14-5009:0.9048, W02-1508:0.9021, W02-1210:0.8985
W04-3103 ==> N07-2036:0.9757, W09-1318:0.9384, W10-3103:0.9171, C08-1006:0.8986, W09-3012:0.8962, S12-1044:0.8958, W14-6006:0.8944, W12-0405:0.8941, W10-3107:0.8901, W10-3023:0.8898
D12-1087 ==> E14-4005:0.9260, P10-4006:0.9086, W12-3305:0.9056, P11-2053:0.8995, W07-0607:0.8898, W10-4171:0.8827, W14-0606:0.8795, W09-0214:0.8786, E09-1013:0.8748, C14-2024:0.8715
N01-1016 ==> W02-1007:0.9864, N04-1011:0.9809, P08-2027:0.9699, C08-1072:0.9633, W02-1035:0.9485, P06-1021:0.9451, D09-1077:0.9392, W05-1519:0.9391, N09-1074:0.9379, P04-1005:0.9283
W08-0113 ==> W10-4329:0.9410, W13-4010:0.9182, P14-2003:0.9153, W05-1623:0.9099, N04-1004:0.9048, W09-3929:0.9043, N06-2040:0.8997, W12-1621:0.8995, P07-1047:0.8976, D08-1026:0.8948
W13-3407 ==> J03-1001:0.9596, N04-2004:0.9565, W06-3705:0.9549, D09-1163:0.9548, N07-1059:0.9547, C00-2099:0.9543, W09-2818:0.9538, W04-1302:0.9522, W04-2113:0.9520, P01-1062:0.9511
P12-1108 ==> D09-1072:0.9065, P11-2009:0.8911, P10-2038:0.8909, D12-1063:0.8825, D10-1020:0.8774, C10-2016:0.8596, N13-1014:0.8581, D12-1075:0.8530, E14-1013:0.8504, W12-1913:0.8501
C00-1058 ==> C08-2035:0.9256, W09-3707:0.8989, W09-3110:0.8919, I08-6014:0.8908, P10-4004:0.8874, W10-0603:0.8786, W09-3944:0.8751, W09-3716:0.8745, W06-1664:0.8744, W07-0612:0.8721
W13-2221 ==> W09-2301:0.9361, C10-2086:0.9342, W11-1009:0.9308, W13-2246:0.9299, W11-2161:0.9289, C14-1209:0.9264, D14-1131:0.9249, W11-2116:0.9233, C14-1108:0.9233, W14-3315:0.9230
N13-1123 ==> P14-3004:0.9496, D13-1191:0.9328, W13-1615:0.9310, W09-1606:0.9308, W14-2701:0.9307, W13-4006:0.9228, W13-2513:0.9216, N12-3009:0.9204, W06-0303:0.9183, P11-1035:0.9163
P10-1029 ==> S12-1028:0.8868, P13-1052:0.8217, D08-1106:0.8174, W13-5007:0.8136, P11-2128:0.8042, W09-2207:0.7959, P14-2119:0.7880, W12-2402:0.7879, P09-1045:0.7784, C14-1159:0.7767
P08-4001 ==> N07-4014:0.9795, W08-0119:0.9771, W12-1805:0.9577, W07-0302:0.9574, P10-3002:0.9557, W12-1626:0.9547, P08-2031:0.9484, N07-2038:0.9477, P09-2005:0.9438, W08-0106:0.9397
C14-1073 ==> W12-6213:0.9678, W12-6201:0.9668, W12-6205:0.9660, W14-2806:0.9644, W12-6212:0.9583, W12-1003:0.9539, W12-6202:0.9527, P01-1062:0.9422, W08-0215:0.9412, P04-1031:0.9379
P14-1072 ==> P13-1079:0.9153, W12-2701:0.8966, D10-1058:0.8678, N10-1050:0.8588, P12-2060:0.8579, P11-2029:0.8531, W14-3309:0.8510, P14-1012:0.8493, P10-2004:0.8433, W12-3148:0.8432
S14-2005 ==> S14-2132:0.9232, W11-1006:0.9105, W12-1906:0.9094, E14-4011:0.9067, W13-0801:0.9049, P14-1082:0.8992, S13-2033:0.8978, S13-2034:0.8977, W13-3306:0.8963, W11-2203:0.8868
P13-1020 ==> D13-1047:0.8923, D12-1022:0.8674, D13-1155:0.8602, P14-1117:0.8558, D13-1156:0.8478, P14-2054:0.8461, W09-1801:0.8416, D13-1128:0.8364, P13-1101:0.8356, P14-2052:0.8312
W01-0725 ==> C00-2089:0.9918, W00-0732:0.9915, W01-0724:0.9824, W01-0723:0.9748, W01-0708:0.9723, I05-2041:0.9448, P05-3021:0.8756, W03-0505:0.8589, P07-2051:0.8105, W07-1606:0.8092
N07-1058 ==> N12-1063:0.9573, E09-3003:0.9342, E09-2013:0.9333, W14-1821:0.9332, D09-1094:0.9220, W14-1819:0.9196, W08-0911:0.9157, W14-4409:0.9063, D12-1043:0.9007, W12-2208:0.8998
P08-1117 ==> P10-1150:0.8689, P12-1013:0.8538, W10-0904:0.8507, D10-1035:0.8499, D14-1164:0.8487, P14-2119:0.8472, P11-1162:0.8470, P12-2011:0.8450, W06-0507:0.8436, C14-1159:0.8425
W14-6103 ==> D11-1036:0.9164, W14-4814:0.9132, E12-2012:0.9105, P07-1122:0.9056, C14-1133:0.9038, W07-2220:0.9034, W13-4902:0.9015, S14-2008:0.9013, J13-1002:0.9009, W12-6218:0.8995
W07-1022 ==> C08-1033:0.9317, N10-2001:0.9285, W09-1901:0.8988, W07-1031:0.8949, W06-3316:0.8840, W06-3328:0.8722, C04-1033:0.8506, W06-0106:0.8474, W12-2423:0.8462, I05-1057:0.8395
Q14-1003 ==> E12-3006:0.9132, W14-3910:0.9095, P14-2061:0.9062, N10-1027:0.9056, W14-3902:0.8938, D14-1069:0.8874, E09-1099:0.8810, W14-1303:0.8795, W14-0401:0.8774, P12-3005:0.8697
N04-4027 ==> W10-2603:0.9895, C04-1079:0.9680, J02-4003:0.9628, P12-1058:0.9438, P05-1037:0.9353, C04-1128:0.9223, H05-2003:0.9084, D08-1081:0.9059, D09-1054:0.9057, W12-1513:0.8924
D13-1142 ==> C14-1147:0.8579, P13-4023:0.8528, C14-1196:0.8372, D14-1072:0.8351, S14-2046:0.8318, P14-2013:0.8233, W14-3626:0.8206, P13-1146:0.8197, E14-4021:0.8148, P14-2078:0.8104
W05-0305 ==> W06-0305:0.9697, W14-4916:0.9623, W10-1817:0.9495, W04-0212:0.9491, W14-1105:0.9250, I08-7009:0.9197, W10-1832:0.9172, W13-2315:0.9011, W07-1530:0.8997, L08-1093:0.8797
P99-1044 ==> H01-1042:0.9526, W09-3536:0.9486, P13-4003:0.9475, W05-0109:0.9429, W05-0110:0.9414, W12-1001:0.9402, S10-1033:0.9390, E99-1007:0.9354, W99-0309:0.9340, W01-0707:0.9335
C00-2159 ==> W11-0801:0.9394, W09-0702:0.9351, D11-1046:0.9343, W12-2909:0.9310, W10-2404:0.9268, P04-1012:0.9262, P09-4008:0.9226, C10-1116:0.9220, P13-1098:0.9212, W09-3510:0.9202
C14-1012 ==> P13-2138:0.8587, D13-1128:0.8487, W14-1215:0.8387, W11-1605:0.8180, E12-1036:0.8132, W09-0604:0.8130, W04-1015:0.8108, P06-2109:0.8091, W09-1801:0.8067, W09-2805:0.8047
C02-1108 ==> P06-2004:0.8990, W06-2913:0.8907, I05-1019:0.8719, W13-2015:0.8498, W11-1819:0.8442, W09-1413:0.8242, W09-1404:0.8151, W09-1420:0.8107, W10-1909:0.8106, W06-2002:0.8104
W14-1820 ==> W11-2308:0.9288, W12-2206:0.9226, W14-1213:0.9199, W12-2207:0.9142, W10-1001:0.9132, C14-1033:0.9132, W13-2904:0.9122, J10-2002:0.8999, E09-1027:0.8992, L08-1601:0.8951
W14-2705 ==> D09-1017:0.8875, C10-1103:0.8807, C14-1205:0.8719, P14-2084:0.8711, W07-0101:0.8708, C14-1140:0.8661, W14-2604:0.8641, D07-1035:0.8627, E14-3007:0.8611, P09-2043:0.8601
W11-1202 ==> W11-1511:0.9843, P06-2065:0.9444, P12-2016:0.9324, C14-1218:0.9252, D14-1184:0.9241, P13-1154:0.9177, D08-1085:0.9055, D14-1185:0.9025, P14-2123:0.8980, P13-1060:0.8820
H05-1106 ==> P06-1099:0.9792, C04-1087:0.9241, P11-1017:0.9028, W07-1101:0.8867, C04-1141:0.8827, W14-0809:0.8761, W02-0308:0.8759, A00-1026:0.8746, E06-1043:0.8665, D09-1049:0.8601
W13-2901 ==> P11-2117:0.8515, N07-1023:0.8359, W11-1601:0.8330, P08-2035:0.8233, P14-1041:0.8155, D10-1066:0.8150, P08-1035:0.8137, N06-1022:0.8071, P02-1037:0.8070, W03-0321:0.8001
W13-1013 ==> W11-0812:0.9264, P14-2121:0.8525, W10-1812:0.8525, W04-0815:0.8505, S14-1022:0.8456, E06-2013:0.8448, W10-1810:0.8432, W11-0132:0.8415, W11-0806:0.8328, W06-0101:0.8302
L08-1604 ==> L08-1188:0.9786, I05-1069:0.9685, H05-1118:0.9619, P11-1162:0.9369, C04-1135:0.9365, I05-1046:0.9343, H05-1075:0.9294, W10-2007:0.9285, P06-3011:0.9267, W09-2508:0.9210
C04-1104 ==> P06-2043:0.9911, W05-1009:0.9798, C04-1161:0.9787, P04-2008:0.9759, W02-1016:0.9585, P06-1044:0.9552, P07-3016:0.9410, W02-0905:0.9397, E03-1037:0.9396, L08-1097:0.9369
D13-1103 ==> W03-2805:0.7832, E14-4014:0.7784, E03-1065:0.7653, P13-2126:0.7615, W05-0105:0.7504, W13-1728:0.7500, W06-0405:0.7495, W05-0111:0.7487, W11-2703:0.7472, N10-1100:0.7466
P13-1051 ==> C14-1026:0.9278, D13-1071:0.9187, Q13-1025:0.9162, P13-1043:0.9146, W07-2218:0.9084, P13-4010:0.9071, W14-4203:0.9058, P12-2003:0.9057, D07-1102:0.9048, P14-1043:0.9047
W11-0135 ==> W05-1210:0.8913, P12-1047:0.8761, P13-4017:0.8675, W11-2402:0.8608, W10-2804:0.8477, W07-1412:0.8333, W11-2403:0.8325, E09-1025:0.8317, P09-3004:0.8310, W07-1427:0.8269
W06-0104 ==> I08-4021:0.9654, I08-7003:0.9276, I08-4009:0.9068, I05-3005:0.9046, I08-4024:0.8977, D08-1111:0.8848, I08-2130:0.8826, W02-1815:0.8790, W10-4128:0.8769, I05-3035:0.8738
P00-1078 ==> H01-1070:0.9822, W03-1704:0.9306, I05-1088:0.9195, C00-2116:0.9091, W07-1315:0.8902, W09-2904:0.8845, P01-1013:0.8831, W04-0410:0.8821, N03-2015:0.8810, W07-1309:0.8808
W11-2145 ==> W12-3144:0.9063, W13-2223:0.8519, W10-1719:0.8476, N07-2007:0.8461, I08-1033:0.8420, W09-0435:0.8406, N09-1046:0.8387, D13-1107:0.8376, W08-0303:0.8309, P11-3001:0.8247
P04-2005 ==> W04-0852:0.9532, W07-2057:0.9444, H05-1069:0.9431, C04-1131:0.9378, N10-1053:0.9362, W10-4164:0.9332, D09-1048:0.9285, W07-2055:0.9282, W04-0849:0.9274, W07-2099:0.9267
P14-2008 ==> W12-4303:0.8623, P11-3022:0.8483, E14-4039:0.8325, P12-1043:0.8303, P10-2061:0.8247, D12-1014:0.8228, W08-0804:0.8160, P10-1043:0.8130, C14-1125:0.8087, P09-1028:0.8084
W00-0507 ==> A00-1004:0.9851, P07-2002:0.9584, L08-1577:0.9580, A00-1019:0.9421, W04-1406:0.9383, P00-1006:0.9381, W00-0707:0.9306, W02-1020:0.9205, W10-2916:0.9150, W03-0413:0.9107
W06-2929 ==> P07-1050:0.8845, N12-1054:0.8729, P06-2101:0.8648, P11-1068:0.8646, Q13-1022:0.8637, S14-2082:0.8556, P10-1002:0.8446, D12-1044:0.8428, P07-1024:0.8421, W07-2210:0.8421
D07-1016 ==> P12-1102:0.9463, I08-1058:0.9014, P05-2023:0.8918, W14-3902:0.8172, E12-3006:0.8127, N10-1027:0.8127, Q14-1003:0.8072, P13-3002:0.8044, P14-2061:0.7963, W14-3910:0.7927
W00-1407 ==> W00-1402:0.9991, P00-1020:0.9913, P01-1057:0.8952, W08-1106:0.8698, W10-2316:0.8216, H01-1055:0.8085, W09-1904:0.8036, P10-2060:0.7131, D14-1226:0.7072, D14-1168:0.7039
W14-1615 ==> W08-2112:0.8737, D12-1059:0.8723, C08-1008:0.8710, Q14-1009:0.8616, P10-1051:0.8587, N12-1014:0.8562, E14-1013:0.8559, W12-1914:0.8476, P07-1094:0.8439, P14-2132:0.8406
C10-2009 ==> W10-1615:0.8782, S10-1057:0.8745, L08-1180:0.8728, H05-1112:0.8721, W07-2085:0.8697, S10-1044:0.8645, W07-2045:0.8611, W07-2081:0.8592, W07-1527:0.8580, D10-1031:0.8497
W13-2260 ==> P09-4007:0.9108, P13-1001:0.9102, N09-2036:0.9063, D10-1063:0.9062, P09-1020:0.9026, P11-1085:0.9019, D14-1029:0.9016, W12-0802:0.8979, W12-3150:0.8957, P14-1106:0.8952
W13-2105 ==> W12-0503:0.8463, E14-4031:0.8460, D12-1029:0.8414, P11-1069:0.8317, P11-2121:0.8316, W13-4908:0.8302, W14-3609:0.8286, W06-1517:0.8272, W08-2104:0.8190, W09-2608:0.8178
S10-1066 ==> W14-3001:0.9352, H05-1111:0.9297, W11-0209:0.9255, S10-1059:0.9220, S10-1008:0.9185, H05-1084:0.9164, I05-2036:0.9155, C08-1105:0.9122, C08-1084:0.9105, N04-3006:0.9073
P09-2073 ==> P10-4008:0.9795, W07-1407:0.9423, S12-1105:0.8992, S13-2023:0.8904, S13-2022:0.8845, S12-1103:0.8838, S12-1107:0.8755, P08-1051:0.8735, N10-1045:0.8733, S13-2006:0.8541
C08-1145 ==> D09-1125:0.9239, W11-2120:0.9205, W09-0409:0.9146, W07-0726:0.9072, P10-1062:0.9072, C08-1005:0.9058, W10-1720:0.9049, W13-2246:0.9031, W10-1744:0.9021, D09-1114:0.9004
W12-3706 ==> P07-1056:0.8061, P14-3001:0.7818, W13-1616:0.7715, C10-2153:0.7674, P10-2061:0.7654, C08-1135:0.7635, W06-1639:0.7622, P09-2079:0.7566, D08-1013:0.7527, W08-0804:0.7515
W07-2075 ==> S10-1081:0.9523, S13-2037:0.9517, W10-4173:0.9434, W07-2089:0.9331, W11-1413:0.9199, D10-1012:0.9196, W10-4166:0.9158, S13-2035:0.9145, S10-1085:0.9124, W07-2096:0.9105
W11-0805 ==> P12-2051:0.9522, C04-1140:0.9442, D08-1107:0.9425, W11-0818:0.9422, W10-1108:0.9405, J11-2004:0.9400, P11-2024:0.9248, E14-4004:0.9238, L08-1454:0.9004, P11-3018:0.8996
W07-2013 ==> W10-3405:0.9786, W10-0208:0.9638, D08-1015:0.9606, L08-1158:0.9598, W05-0408:0.9578, P07-2034:0.9559, P05-2008:0.9525, S13-2061:0.9441, I08-1038:0.9438, P09-2038:0.9396
P11-2099 ==> C10-2004:0.9608, W14-4105:0.9602, P09-2040:0.9580, W14-5805:0.9559, W06-1706:0.9553, D09-1131:0.9533, W11-1712:0.9506, P14-2069:0.9505, S14-2113:0.9501, S13-2059:0.9473
P07-2033 ==> D11-1093:0.9960, W14-4507:0.9952, D10-1105:0.9916, N09-5005:0.9904, W04-2118:0.9840, I05-1050:0.9719, W06-1205:0.9679, W07-1102:0.9653, L08-1448:0.9631, C04-1124:0.9618
W10-2004 ==> W10-2010:0.9407, W14-2002:0.9323, W11-0612:0.9274, D09-1034:0.9200, P11-1106:0.9199, D12-1033:0.9116, P10-2012:0.9091, W14-1807:0.9042, P06-1007:0.9005, N01-1021:0.8829
W12-2505 ==> I08-2088:0.9121, D07-1036:0.9121, P07-1110:0.8953, W13-2261:0.8909, D11-1126:0.8871, C08-1007:0.8869, C08-1017:0.8869, L08-1582:0.8803, J05-4003:0.8798, W12-3142:0.8727
W09-3727 ==> W03-2108:0.9496, W09-3744:0.9484, C00-2149:0.9477, W14-3004:0.9459, W02-1014:0.9457, W00-1202:0.9456, W03-0905:0.9454, C00-1021:0.9441, L08-1377:0.9401, W05-0710:0.9397
J11-2002 ==> D09-1070:0.9332, E09-1015:0.9239, W10-2210:0.9161, C04-1152:0.9093, N07-1020:0.9061, P03-1036:0.9046, E14-2006:0.9044, W02-0602:0.9038, W05-0504:0.9032, E06-2023:0.9022
C02-2007 ==> W11-0905:0.9012, P03-2008:0.8989, W02-1816:0.8980, C00-2174:0.8867, P07-2028:0.8844, W99-0617:0.8838, P07-1129:0.8838, P07-2024:0.8829, P07-3001:0.8828, W11-0107:0.8826
W04-0503 ==> W04-0502:0.9596, N04-4007:0.9519, C00-2091:0.9517, S12-1052:0.9470, W02-1303:0.9455, W10-1013:0.9454, W04-1702:0.9452, W06-3207:0.9451, L08-1141:0.9451, W06-3711:0.9447
W09-3539 ==> P09-4008:0.9511, P05-3023:0.9461, P05-2019:0.9447, L08-1218:0.9401, L08-1325:0.9392, W10-0215:0.9383, E99-1031:0.9357, P99-1016:0.9345, W04-0709:0.9339, L08-1228:0.9337
P13-1115 ==> P06-1107:0.8734, W07-0606:0.8623, E03-1034:0.8604, S12-1025:0.8578, J10-4007:0.8516, P13-2051:0.8250, W09-0201:0.8243, D14-1116:0.8242, S14-1007:0.8238, W14-1817:0.8179
W09-0307 ==> I08-1069:0.9503, N10-1027:0.9115, E09-1099:0.9076, E09-2011:0.8985, W14-3902:0.8930, N07-1057:0.8917, W14-3910:0.8814, W13-2710:0.8654, E12-3006:0.8606, W14-0402:0.8527
W06-1001 ==> W14-2510:0.9426, W04-1616:0.9381, C00-1041:0.9368, C04-1175:0.9322, W02-1403:0.9318, L08-1362:0.9318, C02-1044:0.9312, W01-1009:0.9304, C02-1062:0.9292, W09-0712:0.9286
W06-2113 ==> W04-2608:0.8867, W07-1608:0.8729, W09-3207:0.8599, W07-1417:0.8407, I08-6014:0.8406, W09-2904:0.8394, W02-1407:0.8393, W09-3032:0.8372, C04-1087:0.8366, W02-1113:0.8357
W03-0112 ==> W00-0708:0.9912, C02-1071:0.9729, W03-0812:0.9597, P06-1008:0.9477, W06-2304:0.9404, P01-1034:0.9382, W00-1427:0.9326, W04-0607:0.9245, W03-1313:0.9199, W03-0802:0.9198
N09-1028 ==> W07-0710:0.9039, N13-1115:0.9013, W11-1009:0.8999, W13-2806:0.8994, E14-2018:0.8979, W13-2225:0.8977, D12-1041:0.8969, P11-1127:0.8960, W12-4207:0.8950, D13-1048:0.8917
P13-1104 ==> D07-1102:0.9508, W08-2135:0.9263, S12-1058:0.9260, E12-1009:0.9228, D07-1127:0.9204, P07-1050:0.9176, C08-2012:0.9148, P12-2003:0.9111, W12-3407:0.9084, Q14-1004:0.9069
S12-1086 ==> P12-1091:0.9159, S12-1083:0.9042, S12-1061:0.8914, C10-2048:0.8837, S13-1017:0.8756, S14-2010:0.8592, S12-1078:0.8540, P13-4028:0.8446, S12-1084:0.8410, P14-2036:0.8365
C14-1051 ==> W13-4916:0.9350, P13-2004:0.9247, D11-1113:0.9245, C14-1076:0.9204, P14-1043:0.9179, D13-1071:0.9171, S14-2068:0.9146, W13-1912:0.9141, D14-1109:0.9127, W14-6109:0.9125
W11-2033 ==> W03-2122:0.9583, W02-0217:0.9501, W02-0216:0.9454, W01-1609:0.9403, N09-5002:0.9384, W13-4036:0.9196, W13-4023:0.9171, W11-2043:0.9169, N09-2034:0.9059, W12-1809:0.8979
S12-1043 ==> S12-1036:0.9292, C10-1155:0.9004, W10-3111:0.8955, P14-1049:0.8904, W10-3106:0.8859, D08-1075:0.8803, W10-3015:0.8801, S12-1039:0.8735, S12-1042:0.8735, P11-2103:0.8730
W01-1004 ==> W01-1002:0.9978, W02-1302:0.9354, W07-1705:0.9315, N03-4013:0.9038, L08-1578:0.8765, W03-0509:0.8716, P04-3017:0.8640, C02-1154:0.8568, C00-2136:0.8270, N09-2043:0.8218
W10-3214 ==> E09-1079:0.9800, W14-3322:0.9704, W14-0612:0.9582, W09-0706:0.9463, L08-1120:0.9452, C08-1098:0.9262, W07-1709:0.9021, A00-2013:0.8993, C00-1042:0.8927, W14-5305:0.8780
W07-2041 ==> W06-0504:0.9629, C14-1030:0.9360, E06-1003:0.9344, W07-1703:0.9203, W11-2213:0.8791, W10-4160:0.8635, D09-1056:0.8517, W07-2079:0.8479, W07-2069:0.8472, L08-1126:0.8436
W05-0809 ==> W03-0320:0.9300, W05-0810:0.9159, P06-2112:0.9114, N12-1040:0.8936, W05-0812:0.8919, W06-3107:0.8916, C10-2147:0.8799, W05-0819:0.8668, W04-2207:0.8661, H05-1024:0.8636
W01-0808 ==> E03-1006:0.9553, P02-1004:0.9278, C04-1155:0.9213, C04-1097:0.9202, W02-1601:0.9195, W01-1414:0.9164, C02-1036:0.9159, W01-1402:0.9151, W02-1504:0.9125, W03-0312:0.9102
W08-0804 ==> P11-3022:0.9848, D08-1072:0.9274, P12-2053:0.9251, W13-1616:0.9238, W14-2602:0.9180, P12-1043:0.9077, S14-2090:0.9019, P08-2065:0.9008, D09-1052:0.8961, P10-2061:0.8909
W09-2806 ==> W06-0707:0.9797, W06-1401:0.9750, P14-2055:0.9743, P09-2027:0.9713, P12-2070:0.9640, N10-3003:0.9615, P13-1121:0.9583, P08-1094:0.9579, W08-1406:0.9575, W13-3102:0.9561
W06-0124 ==> N07-2050:0.9599, I05-3030:0.9000, I08-4009:0.8924, W06-0134:0.8812, W04-1105:0.8722, L08-1355:0.8710, W02-1815:0.8663, I05-3035:0.8648, I08-4019:0.8607, W06-0135:0.8601
E03-1008 ==> N03-1031:0.8240, W03-0407:0.8113, P06-1043:0.7778, P07-1078:0.7506, D08-1071:0.7480, W10-1614:0.7435, N06-5002:0.7432, N03-1023:0.7396, J04-3001:0.7382, P09-1006:0.7337
D11-1119 ==> W13-1731:0.8584, W13-3612:0.8477, W13-3610:0.8476, W12-2027:0.8459, W12-2028:0.8425, W13-3617:0.8410, W12-2006:0.8399, W12-2035:0.8352, W09-1007:0.8321, W08-1205:0.8310
N06-2040 ==> C10-2178:0.9896, N04-4012:0.9880, W07-0303:0.9874, W12-3505:0.9872, P04-3033:0.9871, P07-1048:0.9856, P03-2005:0.9853, W08-0801:0.9810, W06-1412:0.9773, C00-1053:0.9770
D10-1004 ==> D10-1125:0.8795, P07-1050:0.8659, D13-1152:0.8630, P11-2112:0.8580, P14-1019:0.8577, P13-2109:0.8546, P10-3016:0.8541, E14-4030:0.8540, D07-1102:0.8537, S14-2068:0.8529
N10-2001 ==> C08-1033:0.9612, W07-1022:0.9285, W07-1031:0.9180, W09-1901:0.8896, W13-1909:0.8869, W06-3328:0.8797, S13-2109:0.8750, W05-1306:0.8735, W12-2423:0.8716, W07-1008:0.8694
W06-1318 ==> W06-1306:0.9972, L08-1009:0.9949, W08-0124:0.9757, N07-1003:0.9750, P10-1102:0.9717, W10-1818:0.9707, J12-2009:0.9659, W06-3405:0.9650, J08-3001:0.9569, W04-2328:0.9498
W14-0207 ==> W12-2801:0.9389, P10-1083:0.9303, J13-2005:0.9268, P14-3005:0.9157, W14-2416:0.9118, N13-1103:0.9047, D12-1040:0.9039, P11-1028:0.9009, W12-2802:0.8994, D14-1134:0.8843
W14-1010 ==> D07-1103:0.9240, P09-2060:0.9187, W07-0724:0.9129, D12-1089:0.8975, P12-2057:0.8903, W14-3312:0.8827, P08-1010:0.8774, W09-1505:0.8635, W06-1607:0.8631, W11-2154:0.8579
W07-1523 ==> L08-1345:0.8316, A00-1020:0.7917, P05-2010:0.7907, L08-1331:0.7893, W04-2310:0.7871, W06-2715:0.7867, H05-1001:0.7834, J01-4001:0.7765, W08-2230:0.7753, P13-2023:0.7665
W03-0407 ==> E03-1008:0.8113, I05-1075:0.7860, N06-1020:0.7739, W11-0223:0.7637, P05-1044:0.7562, D08-1071:0.7301, P07-1078:0.7273, P06-1043:0.7093, P09-1061:0.6977, W14-6106:0.6930
W12-3157 ==> E12-3008:0.9408, W08-0326:0.9305, W12-3158:0.9282, N13-1033:0.9249, W11-2150:0.9126, W12-3145:0.9116, W13-2238:0.9101, W11-1009:0.9082, P06-3003:0.9077, N07-2009:0.9073
C02-1031 ==> W11-0143:0.9667, W01-1305:0.9648, W02-0106:0.9524, W08-1137:0.9476, W06-0402:0.9441, W09-2812:0.9427, D08-1074:0.9398, P03-1034:0.9395, W04-2710:0.9394, W09-3943:0.9374
C04-1070 ==> S12-1093:0.9339, C08-2021:0.9029, P08-2033:0.8921, W00-1422:0.8698, C10-1034:0.8680, E03-2008:0.8536, N03-1034:0.8500, H05-1032:0.8497, P99-1039:0.8495, W00-0901:0.8493
P04-3030 ==> W04-1702:0.9484, W07-1021:0.9481, W00-1014:0.9477, W01-1007:0.9451, W13-3525:0.9445, W03-2113:0.9445, C02-1140:0.9441, W05-0506:0.9438, J04-2005:0.9438, W03-2003:0.9426
N06-1041 ==> I05-3005:0.8873, N12-1014:0.8663, P09-1057:0.8641, D08-1004:0.8635, P05-1046:0.8437, P07-1035:0.8422, C08-1039:0.8415, W09-1907:0.8409, P10-2039:0.8343, P08-1099:0.8330
