C02-1122 ==> C04-1174:0.9666, H01-1043:0.9425, W02-1608:0.9353, I08-2110:0.9298, N06-1023:0.8873, D09-1151:0.8837, P09-2052:0.8735, I05-1005:0.8460, I08-1065:0.8349, D07-1032:0.8205
I08-5013 ==> I08-5003:0.9825, W06-3801:0.9692, W10-4113:0.9685, W07-0206:0.9382, W05-0402:0.9364, N10-1110:0.9315, W06-0113:0.9304, P06-1061:0.9273, P04-1086:0.9266, N07-1001:0.9217
W14-5202 ==> W10-4149:0.9499, P10-3016:0.9131, P12-2021:0.9082, N06-2031:0.8977, D10-1003:0.8974, N12-1002:0.8957, W06-2913:0.8921, N13-2012:0.8834, P11-2020:0.8829, D10-1066:0.8807
C10-2095 ==> P13-2068:0.9357, P13-2071:0.9352, W10-1722:0.9342, E12-3008:0.9322, D14-1017:0.9284, D13-1083:0.9274, W07-0710:0.9269, W11-2139:0.9258, C10-2084:0.9254, E14-4037:0.9249
P13-2135 ==> S13-2023:0.9321, W12-3122:0.9290, S12-1104:0.9119, S12-1053:0.8940, W13-2243:0.8892, S12-1105:0.8855, W13-2231:0.8719, S12-1106:0.8711, S13-2099:0.8680, P10-4008:0.8494
P14-2011 ==> D09-1149:0.9302, C08-1088:0.9251, W10-4115:0.9233, N09-3012:0.9192, E12-1020:0.9071, P08-2023:0.9071, W07-1019:0.9017, I08-2119:0.8962, N06-1037:0.8958, W06-1667:0.8942
W03-2911 ==> E12-1034:0.2965, D12-1115:0.2958, P10-1160:0.2896, N13-1104:0.2860, E12-1065:0.2821, P13-1152:0.2727, P06-2103:0.2716, P08-2011:0.2698, D13-1030:0.2663, C14-1088:0.2621
P09-1079 ==> P08-2059:0.9216, P09-1001:0.8997, W13-3501:0.8891, C10-2173:0.8654, N09-1032:0.8511, D10-1022:0.8457, W08-0804:0.8451, P11-2075:0.8450, C10-2152:0.8449, W10-0104:0.8421
W13-4049 ==> W12-1631:0.8496, D12-1009:0.8256, C14-1046:0.8044, P11-1118:0.7974, P06-1026:0.7969, N13-1019:0.7967, W09-3951:0.7940, P13-1160:0.7871, P10-2028:0.7780, N10-1143:0.7767
W10-0715 ==> W10-1732:0.9560, W13-3521:0.9553, W14-5815:0.9507, P11-2078:0.9496, S12-1015:0.9483, D13-1138:0.9474, W14-3314:0.9431, E12-2003:0.9414, D09-1039:0.9393, W14-3617:0.9383
E14-1005 ==> P10-1144:0.8400, W12-4506:0.8390, P14-1005:0.8337, D13-1203:0.8333, P10-2029:0.8268, P13-1012:0.8186, S10-1022:0.8175, W12-4503:0.8170, N12-1090:0.8143, W11-1911:0.8132
P04-1084 ==> P04-1083:0.9328, N07-1019:0.9053, C02-1003:0.8902, H05-1101:0.8790, C08-2026:0.8699, P11-1046:0.8563, W07-0404:0.8548, W06-1506:0.8542, J10-3006:0.8530, W05-1507:0.8472
L08-1085 ==> W11-1703:0.8336, N10-1059:0.8129, W10-3208:0.8079, D09-1064:0.8047, W12-4306:0.8044, W11-1716:0.8029, D11-1053:0.7999, W12-3716:0.7981, W12-4301:0.7946, W10-1837:0.7944
N10-1070 ==> N09-2007:0.9777, C08-1017:0.9757, P07-1110:0.9730, I08-6001:0.9722, W06-1009:0.9685, C08-1007:0.9565, L08-1582:0.9466, W11-1217:0.9368, J05-4003:0.9243, W04-3208:0.9064
P06-4017 ==> W06-0608:0.9857, I05-6004:0.8895, P05-1041:0.8876, W04-1901:0.8580, W08-2204:0.8502, E03-1030:0.8479, W02-1210:0.8458, W04-1902:0.8442, J11-1003:0.8358, P05-2024:0.8356
W04-3103 ==> N07-2036:0.9684, W10-3107:0.9450, W09-1318:0.9336, W13-2328:0.9198, D09-1145:0.9173, C14-1144:0.9132, W14-6006:0.9127, P09-2044:0.9095, C14-1174:0.9090, W08-0607:0.9077
D12-1087 ==> P13-2027:0.8889, W12-3305:0.8828, E09-1013:0.8813, W14-0815:0.8594, C14-1154:0.8542, W10-2309:0.8529, P13-4019:0.8519, W14-3110:0.8453, E14-4005:0.8448, E14-1056:0.8430
N01-1016 ==> W02-1007:0.9690, N04-1011:0.9625, C08-1072:0.9345, N06-2019:0.9326, P04-1005:0.9312, W05-1519:0.9214, P08-2027:0.9160, H05-1030:0.9139, P06-1021:0.9133, P09-2070:0.9088
W08-0113 ==> N06-2040:0.9083, P14-2003:0.9053, W09-3929:0.9001, W10-4302:0.8965, W09-3905:0.8962, W13-4010:0.8954, W10-4329:0.8937, W14-1410:0.8919, W05-1623:0.8916, C08-2003:0.8907
W13-3407 ==> W99-0309:0.9604, W10-4339:0.9562, W05-0109:0.9521, W01-1629:0.9513, P06-2114:0.9504, I05-2003:0.9502, P03-1032:0.9501, W04-2507:0.9487, N10-1077:0.9470, N07-2005:0.9467
P12-1108 ==> D09-1072:0.9082, P10-2039:0.9077, D10-1078:0.9012, P10-2040:0.8897, W12-1914:0.8889, P10-1132:0.8800, N13-1014:0.8770, D10-1083:0.8760, I08-1029:0.8730, P08-1014:0.8730
C00-1058 ==> C08-2035:0.9098, P00-1054:0.9074, W09-3707:0.8969, W10-1013:0.8946, W10-0603:0.8936, P01-1054:0.8882, W02-1401:0.8875, P06-2001:0.8871, W09-3401:0.8836, P03-2013:0.8826
W13-2221 ==> D09-1108:0.9339, C08-1127:0.9338, W10-1732:0.9293, P11-1085:0.9292, E09-1049:0.9265, N09-2001:0.9256, W14-2403:0.9254, W10-1726:0.9244, P13-1080:0.9232, W10-3812:0.9211
N13-1123 ==> W14-1305:0.8883, P12-2065:0.8792, P12-1034:0.8747, P13-2142:0.8720, P13-1165:0.8662, N12-1072:0.8650, W11-1701:0.8644, C10-2100:0.8630, W14-2701:0.8622, D14-1226:0.8614
P10-1029 ==> W12-2402:0.7994, S12-1028:0.7993, N10-1111:0.7962, W10-2604:0.7844, D08-1106:0.7815, P11-2006:0.7800, W12-1816:0.7791, W13-5007:0.7740, P11-1009:0.7730, W10-4109:0.7700
P08-4001 ==> N07-4014:0.9845, W08-0119:0.9696, P08-2031:0.9638, W12-1805:0.9608, P10-3002:0.9598, W13-4066:0.9578, W12-1626:0.9534, W13-4069:0.9513, W12-1606:0.9483, P14-1047:0.9407
C14-1073 ==> W12-6201:0.9708, W12-6205:0.9637, W12-1003:0.9619, W12-6202:0.9612, W12-6213:0.9591, W14-2806:0.9586, W12-6212:0.9468, P09-2054:0.9318, E12-1057:0.9317, W03-1402:0.9276
P14-1072 ==> P13-1033:0.9196, P14-2025:0.9177, W14-1616:0.9050, P13-1079:0.8821, P14-1138:0.8808, W14-3308:0.8807, N12-1005:0.8777, W13-2222:0.8612, N13-1117:0.8610, W14-4015:0.8566
S14-2005 ==> S14-2132:0.9371, S13-2033:0.9216, S13-2034:0.9123, W12-4201:0.9106, W13-0801:0.9097, W14-3358:0.9040, S14-2094:0.8976, S13-2032:0.8931, S10-1053:0.8923, P14-1082:0.8897
P13-1020 ==> D13-1047:0.9260, D13-1156:0.8616, P11-1049:0.8610, P06-2109:0.8591, E12-1023:0.8507, C10-2060:0.8448, P14-2052:0.8403, W13-3508:0.8353, W12-2020:0.8343, W09-1802:0.8314
W01-0725 ==> W00-0732:0.9907, C00-2089:0.9888, W01-0724:0.9848, W01-0723:0.9773, W01-0708:0.9639, I05-2041:0.9627, P05-3021:0.9162, W01-1315:0.8633, P07-2051:0.8046, W06-1618:0.7927
N07-1058 ==> W08-0911:0.9431, D09-1094:0.9235, N12-1063:0.9172, E09-1027:0.9093, E09-3003:0.9049, W12-2019:0.8764, C10-1062:0.8640, W12-2207:0.8603, W12-2208:0.8563, E09-2013:0.8473
P08-1117 ==> C10-2047:0.8768, D14-1165:0.8761, W10-0910:0.8748, D12-1082:0.8691, N12-2011:0.8678, N13-1095:0.8651, D08-1062:0.8625, D14-1205:0.8608, D14-1208:0.8602, W10-3910:0.8599
W14-6103 ==> P11-2060:0.9630, E12-1008:0.9541, Q13-1022:0.9539, D12-1044:0.9464, D11-1036:0.9460, W12-6218:0.9451, P13-4010:0.9416, D14-1109:0.9398, N09-2066:0.9380, J14-2001:0.9376
W07-1022 ==> C08-1033:0.9262, N10-2001:0.8735, W09-1901:0.8712, W07-1031:0.8687, W12-2423:0.8656, W06-3316:0.8556, W09-1405:0.8335, C04-1033:0.7947, W12-2409:0.7915, A00-1032:0.7904
Q14-1003 ==> W14-3910:0.9551, E12-3006:0.9296, P12-1102:0.9212, P14-2061:0.9167, W14-3902:0.9020, W14-1303:0.8995, P05-2023:0.8960, D07-1016:0.8872, N10-1027:0.8766, W14-0401:0.8628
N04-4027 ==> W10-2603:0.9887, J02-4003:0.9758, P05-1037:0.9638, H05-2003:0.9510, C04-1079:0.9430, W12-1513:0.9427, C04-1128:0.9407, P12-1058:0.9208, D09-1054:0.9145, P11-4023:0.8898
D13-1142 ==> C14-1119:0.8935, W14-3626:0.8875, W12-0508:0.8639, D13-1042:0.8625, C14-1147:0.8620, N13-1122:0.8610, W12-3902:0.8603, P13-4023:0.8588, N10-1072:0.8552, P12-1086:0.8518
W05-0305 ==> W06-0305:0.9741, L08-1093:0.9254, W04-0212:0.9248, I08-7009:0.9220, W12-3310:0.9165, W14-4916:0.9163, P12-1008:0.9067, W10-1832:0.8947, W10-1817:0.8869, W14-1105:0.8835
P99-1044 ==> H05-1070:0.9513, E03-1033:0.9476, C02-1044:0.9430, C02-1062:0.9430, L08-1324:0.9407, N10-1098:0.9404, W10-2701:0.9393, P03-1045:0.9388, W05-1107:0.9387, W09-3032:0.9385
C00-2159 ==> W10-2419:0.9502, I08-5009:0.9452, W08-1912:0.9427, P13-1098:0.9381, C10-1092:0.9375, I08-5008:0.9371, L08-1164:0.9349, W04-0829:0.9340, J03-1001:0.9338, P10-1082:0.9335
C14-1012 ==> D13-1128:0.8714, P14-1115:0.7888, W00-1422:0.7856, P14-2074:0.7834, W04-1010:0.7769, D13-1047:0.7648, E12-1023:0.7643, W14-5417:0.7640, D13-1156:0.7633, I08-1016:0.7625
C02-1108 ==> P06-2004:0.9304, W06-2913:0.8722, P09-2002:0.8015, P06-2072:0.8010, D09-1025:0.7952, N10-1026:0.7913, P08-2067:0.7904, P14-1098:0.7884, W08-1302:0.7823, I05-1019:0.7810
W14-1820 ==> W11-2308:0.9579, W14-1213:0.9360, W14-1819:0.9291, C14-1033:0.9166, W10-1001:0.9144, W12-2206:0.9135, W14-1821:0.9130, W08-0909:0.8844, D14-1146:0.8827, W10-1007:0.8792
W14-2705 ==> S14-2113:0.8754, D07-1115:0.8696, W14-2604:0.8614, S14-2031:0.8583, P11-4006:0.8554, C14-1205:0.8551, S13-2079:0.8524, S13-2075:0.8502, S14-2145:0.8446, Q13-1009:0.8445
W11-1202 ==> W11-1511:0.9901, P06-2065:0.9560, D08-1085:0.9346, D14-1185:0.9290, D14-1184:0.9202, P13-1154:0.9091, P10-1106:0.9074, C14-1218:0.9070, P13-1060:0.8941, D13-1087:0.8806
H05-1106 ==> P06-1099:0.9776, W07-1101:0.9325, C04-1087:0.9323, P11-1017:0.9140, W14-0809:0.9102, C04-1141:0.9077, E06-1043:0.9015, W14-0813:0.9008, L08-1448:0.8860, W13-1011:0.8744
W13-2901 ==> P08-2035:0.8333, E06-1038:0.8231, D14-1085:0.8000, N07-1023:0.7900, W09-2805:0.7899, E12-1036:0.7879, D14-1108:0.7802, P09-1093:0.7801, P11-2117:0.7778, P08-1035:0.7773
W13-1013 ==> W11-0812:0.8937, W10-1822:0.8828, C10-1125:0.8658, D13-1145:0.8574, E09-1086:0.8421, W04-0815:0.8380, W10-1810:0.8352, E09-1074:0.8315, P14-2121:0.8304, N10-1039:0.8277
L08-1604 ==> C04-1135:0.9712, W06-1802:0.9648, L08-1188:0.9585, I05-1069:0.9555, P06-3011:0.9490, I05-7011:0.9412, W04-2502:0.9369, H05-1118:0.9352, W12-4004:0.9300, I05-1046:0.9261
C04-1104 ==> P06-2043:0.9883, C04-1161:0.9827, P04-2008:0.9822, W05-1009:0.9753, P06-1044:0.9585, W02-1016:0.9566, D07-1018:0.9472, W02-0905:0.9471, P07-3016:0.9457, P02-1029:0.9273
D13-1103 ==> W03-2805:0.8096, C10-2122:0.8032, W13-3102:0.7937, E14-4046:0.7831, N10-1100:0.7821, P13-2024:0.7790, E03-2013:0.7756, E14-1075:0.7728, I08-1063:0.7722, W13-3103:0.7717
P13-1051 ==> D07-1123:0.9380, S12-1073:0.9335, P11-2121:0.9225, P11-2003:0.9161, W09-1210:0.9157, W12-3410:0.9150, N07-1049:0.9145, N09-2066:0.9098, E12-1007:0.9087, P13-4010:0.9083
W11-0135 ==> E09-1025:0.9034, W10-2804:0.8875, W12-4006:0.8488, W05-1210:0.8447, J07-4001:0.8398, W07-1421:0.8365, W07-1418:0.8325, P11-2057:0.8072, W04-0910:0.8050, D13-1065:0.7977
W06-0104 ==> I08-4021:0.9628, I08-4024:0.9591, I08-2130:0.9575, W06-0121:0.9557, W06-0133:0.9548, D08-1111:0.9480, I08-4028:0.9434, I05-1048:0.9365, W06-0117:0.9321, W10-4130:0.9305
P00-1078 ==> H01-1070:0.9836, W14-5817:0.9300, W13-1008:0.9258, W09-2901:0.9221, W00-0409:0.9202, W07-1309:0.9165, C02-1062:0.9124, C14-1073:0.9121, W03-0810:0.9118, P06-1076:0.9113
W11-2145 ==> W13-2210:0.8561, W14-3313:0.8445, W13-3523:0.8363, N13-1004:0.8311, W13-1403:0.8267, W13-2261:0.8255, W13-2264:0.8212, E12-3008:0.8166, W10-1704:0.8158, W10-0704:0.8054
P04-2005 ==> W04-0852:0.9661, E06-1017:0.9468, P06-1058:0.9417, C04-1131:0.9345, L08-1585:0.9339, W04-0834:0.9334, D09-1048:0.9309, J10-1004:0.9301, W13-5003:0.9253, N13-1062:0.9233
P14-2008 ==> N12-1073:0.8412, N10-1122:0.8245, W11-0318:0.8131, C10-1101:0.8059, C08-1087:0.7895, P10-1057:0.7819, N13-1067:0.7816, C14-1050:0.7779, P08-1093:0.7766, P11-3015:0.7698
W00-0507 ==> A00-1004:0.9764, L08-1577:0.9756, P07-2002:0.9726, W04-1406:0.9682, A00-1019:0.9312, P00-1006:0.9299, W00-0707:0.9194, N04-4028:0.9115, W03-0413:0.9103, W02-1020:0.9081
W06-2929 ==> P07-1050:0.9172, W13-4903:0.8980, D07-1014:0.8734, N12-1054:0.8680, P06-2101:0.8623, D07-1102:0.8588, P07-1024:0.8539, W06-2937:0.8522, P13-2111:0.8518, D07-1015:0.8497
D07-1016 ==> P12-1102:0.9427, P05-2023:0.9134, Q14-1003:0.8872, W14-3910:0.8748, I08-1058:0.8698, W14-1303:0.8517, E12-3006:0.8474, N10-1027:0.8304, P14-2061:0.8284, P05-1039:0.8227
W00-1407 ==> W00-1402:0.9993, P00-1020:0.9897, P01-1057:0.8963, H01-1055:0.8553, W08-1106:0.8548, W09-1904:0.7951, D14-1168:0.7059, W10-2316:0.7039, W10-0719:0.6961, P08-4005:0.6690
W14-1615 ==> D12-1075:0.8996, P10-1051:0.8784, J07-4003:0.8646, P10-2039:0.8642, Q13-1001:0.8639, P09-1057:0.8539, D12-1127:0.8496, Q14-1009:0.8455, P12-1108:0.8418, N13-1014:0.8408
C10-2009 ==> P11-1146:0.9165, S10-1050:0.8973, W11-0106:0.8943, W07-2049:0.8933, W07-1110:0.8838, W07-2082:0.8796, W07-2085:0.8772, S10-1048:0.8763, L08-1018:0.8668, S10-1046:0.8651
W13-2260 ==> D13-1083:0.9250, D09-1147:0.9221, W13-2226:0.9180, D14-1132:0.9173, W13-2217:0.9154, P12-2058:0.9147, P13-1078:0.9142, W12-3160:0.9133, W12-3135:0.9107, P13-2003:0.9096
W13-2105 ==> W09-1211:0.8073, C14-1133:0.7964, N09-3004:0.7910, S14-2080:0.7910, E14-4031:0.7892, N10-1093:0.7873, W13-4906:0.7849, P14-1019:0.7841, W14-6109:0.7839, C08-1095:0.7825
S10-1066 ==> W07-2017:0.9496, S10-1065:0.9427, W14-2413:0.9403, S10-1059:0.9352, W14-3001:0.9342, W08-2133:0.9331, W07-1518:0.9317, W11-0908:0.9264, C08-1105:0.9216, I05-1070:0.9201
P09-2073 ==> P10-4008:0.9665, W07-1407:0.9499, S13-2099:0.9120, S12-1106:0.8948, S13-2005:0.8786, S12-1064:0.8681, S13-2023:0.8661, P12-2024:0.8518, S12-1103:0.8482, S13-2021:0.8476
C08-1145 ==> W07-0726:0.9310, W10-1748:0.8946, C14-1193:0.8889, W12-3121:0.8873, W11-2121:0.8842, P10-1012:0.8814, W09-0409:0.8803, P09-1035:0.8770, W09-0407:0.8731, W14-3335:0.8729
W12-3706 ==> W14-2106:0.8248, P10-1141:0.7940, W12-3712:0.7800, W14-2620:0.7653, C08-1135:0.7651, P13-2142:0.7638, P12-3006:0.7625, W11-2021:0.7605, P09-2080:0.7552, D12-1039:0.7533
W07-2075 ==> S13-2036:0.9330, D10-1012:0.9249, S13-2039:0.9239, E14-4001:0.9171, S10-1081:0.9145, C14-1011:0.9125, W07-2092:0.9115, W06-3814:0.9095, S13-2113:0.9013, W10-4171:0.8997
W11-0805 ==> P12-2051:0.9710, W11-0818:0.9655, C04-1140:0.9643, E14-4004:0.9591, P11-2024:0.9518, P11-3018:0.9516, W10-1108:0.9480, J11-2004:0.9432, D08-1107:0.9414, L08-1454:0.9390
W07-2013 ==> W10-3405:0.9717, W10-0208:0.9701, L08-1158:0.9634, D08-1015:0.9604, W13-1603:0.9431, W14-2623:0.9368, S13-2061:0.9355, P09-2040:0.9304, P14-2069:0.9278, P05-2008:0.9265
P11-2099 ==> W11-0145:0.9583, N10-1042:0.9512, W06-0304:0.9509, W14-5806:0.9502, C10-2004:0.9458, W09-1606:0.9442, W11-1712:0.9432, P09-2040:0.9426, P11-1035:0.9401, P06-1133:0.9392
P07-2033 ==> W14-4507:0.9950, D10-1105:0.9880, D11-1093:0.9858, N09-5005:0.9827, W04-2118:0.9795, C04-1124:0.9720, I05-1050:0.9668, W06-1205:0.9608, I05-7005:0.9601, W11-0806:0.9483
W10-2004 ==> P10-2012:0.9581, W14-1807:0.9511, W11-0612:0.9493, W10-2010:0.9472, D09-1034:0.9294, W14-2002:0.9286, D12-1033:0.9148, P11-1106:0.9144, D13-1133:0.9132, W12-1706:0.9028
W12-2505 ==> E12-1016:0.9292, C10-2010:0.9281, W13-2261:0.9264, W12-3147:0.9212, W10-1722:0.9142, P13-1126:0.9113, D14-1062:0.9088, D11-1126:0.9079, W10-1713:0.9077, C10-2071:0.9032
W09-3727 ==> W02-0101:0.9443, W99-0611:0.9430, J02-2004:0.9414, C10-2128:0.9395, A00-1006:0.9394, W08-1508:0.9385, P99-1035:0.9375, W02-1303:0.9374, P10-1082:0.9371, P99-1020:0.9366
J11-2002 ==> E06-2023:0.9520, D09-1070:0.9489, W06-3208:0.9477, W04-0106:0.9447, W05-0503:0.9422, P03-1036:0.9390, W04-0105:0.9367, I08-1003:0.9313, C04-1152:0.9305, W05-0504:0.9297
C02-2007 ==> W02-1816:0.9244, W02-0103:0.8791, C10-2024:0.8766, W06-3510:0.8657, C00-1018:0.8592, W04-1710:0.8578, W14-2102:0.8577, W13-2715:0.8575, W04-1616:0.8569, W02-1116:0.8563
W04-0503 ==> C02-1047:0.9597, W02-1906:0.9584, W04-0502:0.9503, W04-0507:0.9461, C00-1039:0.9451, L08-1135:0.9439, N03-4004:0.9413, S12-1052:0.9386, W09-2702:0.9313, C04-1164:0.9266
W09-3539 ==> P99-1061:0.9573, E99-1023:0.9561, W09-3412:0.9552, C02-1148:0.9543, H05-1121:0.9532, W10-2419:0.9527, P06-1069:0.9520, P99-1079:0.9508, W08-1912:0.9486, W06-3207:0.9485
P13-1115 ==> S14-1007:0.9016, D14-1004:0.8915, W09-0211:0.8893, D10-1114:0.8784, W12-3402:0.8727, E03-1034:0.8639, N10-3005:0.8625, W11-1303:0.8587, W07-0606:0.8581, W11-2508:0.8477
W09-0307 ==> I08-1069:0.9588, E09-1099:0.9283, N07-1057:0.9265, N10-1027:0.9164, P12-3005:0.9059, W14-3902:0.9022, E09-2011:0.9004, W10-2101:0.8716, E12-3006:0.8701, W14-5315:0.8612
W06-1001 ==> W09-2818:0.9592, W09-2821:0.9575, P07-2024:0.9572, W09-0712:0.9568, W09-3032:0.9563, P12-2030:0.9559, I05-3015:0.9553, L08-1362:0.9541, W04-1302:0.9533, W03-2108:0.9530
W06-2113 ==> W04-2608:0.9563, W07-1608:0.8946, W07-2070:0.8720, W09-2906:0.8591, W14-5817:0.8563, W13-1008:0.8541, W00-0103:0.8535, W09-2106:0.8530, W12-6201:0.8501, W09-2904:0.8478
W03-0112 ==> W00-0708:0.9905, C02-1071:0.9818, P06-1008:0.9723, W03-0812:0.9570, W06-2304:0.9562, W03-0802:0.9353, W07-2205:0.9341, L08-1449:0.9253, W00-1427:0.9247, P01-1034:0.9235
N09-1028 ==> D08-1089:0.9211, W09-0439:0.9081, P09-1019:0.9063, D13-1201:0.9003, W10-1717:0.8994, P06-1098:0.8993, N13-1003:0.8984, D08-1076:0.8973, W10-3801:0.8916, W13-0803:0.8902
P13-1104 ==> E14-4006:0.9586, W13-3518:0.9511, D14-1109:0.9510, D12-1044:0.9421, Q13-1022:0.9394, P11-2125:0.9376, P10-2035:0.9362, P13-2111:0.9346, C14-1076:0.9332, W12-6218:0.9324
S12-1086 ==> N13-1089:0.9095, P12-1091:0.8912, P14-2036:0.8893, S13-1008:0.8815, P12-2028:0.8790, S12-1087:0.8697, S12-1078:0.8573, S12-1095:0.8540, S14-2102:0.8407, S12-1061:0.8406
C14-1051 ==> P11-2033:0.9284, P13-1104:0.9238, Q13-1025:0.9214, W13-3518:0.9189, C14-1078:0.9177, P14-6008:0.9177, C14-2004:0.9158, P13-2020:0.9115, P14-2128:0.9102, Q13-1004:0.9086
W11-2033 ==> N09-5002:0.9744, N09-2034:0.9720, W08-0114:0.9670, W11-2043:0.9616, N04-1028:0.9605, P09-2021:0.9583, W06-1302:0.9564, W11-2004:0.9502, W13-4023:0.9453, W03-2122:0.8931
S12-1043 ==> W10-3111:0.9312, S13-2083:0.8874, S12-1042:0.8850, W14-3624:0.8837, S14-2087:0.8835, W13-2327:0.8805, W10-3106:0.8801, P14-1029:0.8778, W14-2616:0.8777, W12-3805:0.8771
W01-1004 ==> W01-1002:0.9987, W02-1302:0.9630, W07-1705:0.9275, N03-4013:0.9001, L08-1578:0.8887, N09-2043:0.8565, W06-2207:0.8510, P04-3017:0.8504, E09-2004:0.8371, W03-0509:0.8330
W10-3214 ==> E09-1079:0.9761, W09-0706:0.9538, C08-1098:0.9520, W14-0612:0.9519, W14-3322:0.9484, L08-1120:0.9345, W14-5310:0.9181, W07-1709:0.9071, W14-5305:0.9051, C00-1042:0.8956
W07-2041 ==> W06-0504:0.9503, D09-1056:0.9241, C14-1030:0.9176, W07-1703:0.9039, W10-4160:0.8944, W07-2079:0.8878, I08-1020:0.8856, E06-1003:0.8845, W10-4158:0.8769, W07-2104:0.8738
W05-0809 ==> W05-0810:0.9173, W03-0320:0.9142, W05-0812:0.9029, W05-0819:0.8934, P06-2014:0.8904, W05-0801:0.8859, N12-1040:0.8851, P06-2112:0.8846, W06-3107:0.8693, W08-1403:0.8648
W01-0808 ==> W02-1601:0.9521, C04-1155:0.9498, W03-0312:0.9439, N01-1019:0.9380, W01-1414:0.9292, C00-2152:0.9275, C02-1160:0.9250, W02-1504:0.9238, W02-1510:0.9232, I05-1054:0.8937
W08-0804 ==> P11-3022:0.9691, P10-2061:0.9349, P08-2065:0.9340, W10-2918:0.9257, D13-1016:0.9227, P09-2080:0.9222, D08-1072:0.9209, D09-1052:0.9181, W14-2602:0.9181, D12-1060:0.9169
W09-2806 ==> P12-2070:0.9851, P09-2027:0.9804, C10-2106:0.9804, P08-1094:0.9800, W13-3103:0.9772, W13-3101:0.9766, N10-3003:0.9762, W06-1401:0.9748, J11-1001:0.9747, I05-2027:0.9721
W06-0124 ==> N07-2050:0.9723, C04-1058:0.9358, P06-1078:0.8991, I05-3030:0.8818, W06-2808:0.8723, I05-3013:0.8612, P06-1125:0.8555, E03-1038:0.8527, N04-4010:0.8514, P05-3015:0.8466
E03-1008 ==> N03-1031:0.8434, W03-0407:0.7964, J04-3001:0.7723, D08-1071:0.7716, P06-1043:0.7676, W10-1614:0.7657, N06-5002:0.7553, P07-1078:0.7534, N06-1020:0.7410, W07-2204:0.7350
D11-1119 ==> W12-2033:0.8763, W13-1731:0.8740, W13-3612:0.8685, W13-1730:0.8594, W13-3610:0.8574, W12-2023:0.8557, W12-2035:0.8550, P13-1143:0.8488, N12-1029:0.8465, C14-1183:0.8455
N06-2040 ==> W07-0303:0.9830, C10-2178:0.9823, P03-2005:0.9812, P04-3033:0.9800, N04-4012:0.9798, W12-3505:0.9794, P07-1048:0.9791, W06-1412:0.9754, C00-1053:0.9722, C00-1054:0.9656
D10-1004 ==> D13-1093:0.9099, D07-1127:0.9088, S12-1058:0.9084, J11-1007:0.9052, P13-2109:0.9039, D07-1102:0.9036, C10-2015:0.9013, P13-2104:0.8945, D07-1015:0.8937, P13-2111:0.8915
N10-2001 ==> I08-1072:0.9004, L08-1306:0.8953, C08-1033:0.8943, W10-2107:0.8821, W12-0910:0.8800, W12-0905:0.8784, W07-1022:0.8735, W09-1325:0.8696, W05-1517:0.8678, W11-0217:0.8638
W06-1318 ==> W06-1306:0.9963, L08-1009:0.9959, W06-3405:0.9730, N07-1003:0.9722, W08-0124:0.9720, P10-1102:0.9706, W10-1818:0.9651, J08-3001:0.9588, W08-0125:0.9549, J05-3001:0.9543
W14-0207 ==> P10-1083:0.9663, W12-2802:0.9476, P14-3005:0.9342, P11-1028:0.9269, W12-2801:0.9149, W14-1607:0.9146, Q13-1005:0.9127, P09-1010:0.9117, W14-2404:0.9102, N13-1103:0.9093
W14-1010 ==> D07-1103:0.9118, D12-1089:0.9023, L08-1131:0.8993, C10-1056:0.8762, D12-1088:0.8751, P08-1010:0.8637, D13-1050:0.8593, E14-1001:0.8514, W07-2061:0.8512, P09-2060:0.8462
W07-1523 ==> L08-1345:0.8585, L08-1331:0.8158, W03-1902:0.8087, P05-1031:0.8056, W06-2715:0.7850, A00-1020:0.7819, D07-1052:0.7679, P00-1051:0.7676, P04-1019:0.7655, P00-1019:0.7633
W03-0407 ==> E03-1008:0.7964, W11-0223:0.7398, P05-1044:0.7317, D08-1071:0.7271, D12-1131:0.7269, N06-1020:0.7266, P07-1078:0.7204, P09-1061:0.7145, N03-1031:0.6910, W10-2902:0.6835
W12-3157 ==> P10-1147:0.9273, W10-2913:0.9212, W10-3813:0.9096, D09-1105:0.9095, C10-2095:0.9085, W12-3158:0.9050, C10-2021:0.9042, L08-1567:0.9036, P11-2079:0.9031, D08-1066:0.9026
C02-1031 ==> W06-2111:0.9666, W13-3404:0.9658, W06-2107:0.9652, W07-1702:0.9632, N04-4007:0.9632, E12-1057:0.9624, L08-1377:0.9616, P03-1032:0.9611, L08-1401:0.9608, I05-3015:0.9608
C04-1070 ==> S12-1093:0.9032, W09-1002:0.8976, P04-3024:0.8972, C02-1123:0.8866, W09-3610:0.8843, W01-1014:0.8789, W08-0202:0.8786, L08-1148:0.8761, L08-1125:0.8759, P10-1009:0.8739
P04-3030 ==> P05-3029:0.9551, W09-2818:0.9528, I05-3015:0.9522, P11-2105:0.9490, L08-1199:0.9473, P01-1021:0.9470, W13-1902:0.9465, C00-2098:0.9464, W10-3403:0.9463, P03-1053:0.9460
N06-1041 ==> I05-3005:0.8829, D09-1134:0.8772, D08-1036:0.8599, C10-2016:0.8576, P08-1099:0.8568, P14-2132:0.8536, P09-1057:0.8523, D07-1031:0.8460, E14-1013:0.8432, P08-1100:0.8430
