C02-1122 ==> C04-1174:0.9666, H01-1043:0.9515, I08-2110:0.9413, W02-1608:0.9407, P09-2052:0.8824, I05-1005:0.8587, P06-2097:0.8408, N06-1023:0.8380, C04-1050:0.8120, P02-1028:0.7736
I08-5013 ==> I08-5003:0.9541, W10-4113:0.9537, W07-0206:0.9425, W06-3801:0.9263, P06-1061:0.9234, S10-1055:0.9196, W04-1221:0.9141, W06-0113:0.9139, W05-0402:0.9074, N10-1110:0.9052
W14-5202 ==> W10-4149:0.9594, D10-1066:0.8943, N06-2031:0.8829, W14-4913:0.8789, C08-1071:0.8754, W10-4144:0.8750, N10-1071:0.8714, E14-4032:0.8675, S10-1021:0.8564, N13-2012:0.8542
C10-2095 ==> W14-0313:0.9358, C10-2084:0.9268, W10-1721:0.9124, P14-1138:0.9123, P11-2079:0.9083, D12-1041:0.9030, W13-2237:0.8996, P06-2122:0.8996, C10-1084:0.8967, W13-2260:0.8964
P13-2135 ==> W12-3122:0.9263, S12-1104:0.8952, S12-1109:0.8930, S12-1105:0.8916, W13-2243:0.8882, S12-1107:0.8799, S13-2005:0.8774, W13-2231:0.8758, S13-2006:0.8733, S12-1065:0.8719
P14-2011 ==> P14-1076:0.9154, C10-2137:0.8967, E12-1020:0.8932, W10-4115:0.8807, N07-1015:0.8769, C14-1159:0.8748, P10-2053:0.8711, P14-1054:0.8698, P06-1016:0.8698, P11-1056:0.8686
W03-2911 ==> W04-0812:0.8933, W10-2606:0.8845, W01-1507:0.8794, C10-2148:0.8763, P05-3017:0.8754, W05-1102:0.8737, W11-0210:0.8723, W09-3212:0.8696, W08-1302:0.8672, J12-3006:0.8638
P09-1079 ==> C10-2173:0.9341, P08-2059:0.8872, C14-1127:0.8638, P11-2075:0.8446, W12-3707:0.8415, J11-3005:0.8360, D09-1061:0.8348, S14-2096:0.8343, P10-1043:0.8343, W13-1616:0.8290
W13-4049 ==> P10-2057:0.8773, W08-2112:0.8687, P10-2040:0.8596, D08-1036:0.8511, P13-3017:0.8488, C14-1084:0.8358, P07-1094:0.8306, W09-3951:0.8279, W14-4316:0.8256, W12-1915:0.8255
W10-0715 ==> W11-2143:0.9502, W13-0803:0.9441, W14-4018:0.9406, P13-1156:0.9397, W14-4209:0.9344, W10-1720:0.9282, W14-3617:0.9254, N09-2001:0.9237, D13-1138:0.9225, W14-3629:0.9209
E14-1005 ==> P11-1079:0.8415, W11-1916:0.8389, D14-1225:0.8360, W12-4514:0.8344, W11-1911:0.8316, S10-1022:0.8307, C14-1201:0.8261, P10-2029:0.8257, C10-2125:0.8237, C14-1061:0.8228
P04-1084 ==> P04-1083:0.9651, C02-1003:0.9113, H05-1101:0.8613, N07-1019:0.8501, J10-3006:0.8485, N03-1021:0.8233, C08-2026:0.8226, J12-3008:0.8163, W07-0404:0.8123, W09-2303:0.8119
L08-1085 ==> W11-1703:0.8679, L08-1620:0.8651, P10-1042:0.8444, S10-1099:0.8419, W06-1710:0.8310, N10-1059:0.8293, W11-1716:0.8277, C08-1052:0.8271, L08-1618:0.8256, W06-1642:0.8241
N10-1070 ==> I08-6001:0.9661, C08-1017:0.9638, P07-1110:0.9630, W06-1009:0.9580, C08-1007:0.9487, N09-2007:0.9359, W02-1037:0.9335, W11-1217:0.9325, E03-1050:0.9279, J05-4003:0.9211
P06-4017 ==> P05-1041:0.9814, I05-6004:0.9723, W08-2204:0.9714, W04-1901:0.9612, W02-1508:0.9589, P03-2033:0.9555, W06-0608:0.9545, W14-2202:0.9518, I05-6011:0.9510, P05-2024:0.9506
W04-3103 ==> N07-2036:0.9579, W10-3107:0.9181, W14-3403:0.8926, W09-1318:0.8878, C08-1006:0.8873, W12-2406:0.8797, W10-1910:0.8795, W06-3304:0.8763, W13-2327:0.8704, W10-3004:0.8704
D12-1087 ==> P11-2053:0.8956, W12-3305:0.8924, C14-1154:0.8889, P13-4019:0.8876, W12-0203:0.8850, P07-3015:0.8827, W11-2508:0.8767, W12-0202:0.8663, W07-0607:0.8663, N06-2020:0.8662
N01-1016 ==> N04-1011:0.9788, W02-1007:0.9784, P08-2027:0.9513, C08-1072:0.9464, W05-1519:0.9457, P06-1021:0.9361, P04-1005:0.9288, N04-4032:0.9268, W02-1035:0.9237, D09-1077:0.9085
W08-0113 ==> W10-4329:0.9333, P04-3033:0.9314, N06-2040:0.9312, P14-2003:0.9307, W13-4010:0.9295, C10-2178:0.9233, N04-4011:0.9222, W14-1410:0.9214, N04-4012:0.9183, P03-2005:0.9172
W13-3407 ==> W04-2113:0.9627, W10-4318:0.9622, L08-1362:0.9590, W99-0609:0.9566, L08-1605:0.9560, P01-1062:0.9559, W02-0227:0.9550, P09-4011:0.9548, W09-0716:0.9544, W05-0110:0.9538
P12-1108 ==> D12-1086:0.8585, J07-4003:0.8549, D09-1072:0.8548, D12-1127:0.8546, P13-2112:0.8497, D11-1005:0.8442, E09-1042:0.8386, P12-2071:0.8369, P13-2056:0.8343, C10-2016:0.8317
C00-1058 ==> H05-1121:0.9555, W14-0820:0.9539, W02-0101:0.9468, W10-1835:0.9452, N03-2033:0.9436, P05-3028:0.9424, C08-2019:0.9420, P99-1035:0.9419, C10-1014:0.9405, L08-1362:0.9390
W13-2221 ==> N10-3010:0.9330, W09-2306:0.9319, N10-1127:0.9238, N13-1032:0.9201, P11-1104:0.9153, W12-3140:0.9141, W14-4018:0.9104, N10-1040:0.9098, E14-1045:0.9090, W06-3106:0.9090
N13-1123 ==> P13-3016:0.9378, W14-2715:0.9353, D13-1191:0.9336, W13-1615:0.9293, W13-2402:0.9289, P14-3004:0.9269, W11-1712:0.9194, P12-1034:0.9193, P13-2142:0.9190, S13-2061:0.9187
P10-1029 ==> C10-2146:0.8102, D08-1106:0.8068, W10-2604:0.8039, S12-1028:0.7995, P14-2088:0.7886, W11-0412:0.7836, W09-2207:0.7745, P11-2006:0.7669, P10-1030:0.7506, D13-1185:0.7487
P08-4001 ==> N07-4014:0.9837, W08-0119:0.9777, P10-3002:0.9688, P08-2031:0.9643, W12-1805:0.9584, W07-0302:0.9576, W09-3916:0.9564, W13-4016:0.9494, J08-4002:0.9486, W08-0106:0.9476
C14-1073 ==> W14-2806:0.9686, W12-6202:0.9614, W12-6213:0.9613, W12-6205:0.9610, W12-6212:0.9579, W12-6201:0.9576, P09-4011:0.9532, W13-3407:0.9530, H01-1068:0.9498, N04-3011:0.9479
P14-1072 ==> W13-2238:0.9305, W13-2222:0.9177, P14-1012:0.8800, E14-1042:0.8771, D14-1197:0.8750, W13-0806:0.8674, D14-1158:0.8633, P12-2060:0.8569, N12-1005:0.8506, W12-3158:0.8444
S14-2005 ==> S13-2033:0.9407, S10-1025:0.9196, S14-2123:0.9166, S14-2132:0.9117, S13-2029:0.9079, W12-4201:0.9053, W11-1006:0.9044, S14-2094:0.9039, W11-1013:0.9011, W11-2203:0.9003
P13-1020 ==> P11-1049:0.8387, P13-1101:0.8374, P13-1099:0.8252, W09-1801:0.8218, D13-1156:0.8174, P10-1058:0.8141, W09-1802:0.8070, W11-1605:0.8063, C10-2060:0.8014, J10-1003:0.7996
W01-0725 ==> W00-0732:0.9913, C00-2089:0.9868, W01-0724:0.9791, I05-2041:0.9688, W01-0723:0.9663, W01-0708:0.9614, W03-0505:0.8643, P07-2051:0.8439, P05-3021:0.8178, W04-1007:0.8005
N07-1058 ==> E09-3003:0.9539, N12-1063:0.9519, D12-1043:0.9182, E09-2013:0.9145, E09-1027:0.9118, W14-1819:0.9106, W08-0911:0.9103, D09-1094:0.9079, W11-1415:0.9042, W14-1821:0.9029
P08-1117 ==> D11-1134:0.8634, C14-1159:0.8614, P09-1115:0.8531, D14-1164:0.8487, D08-1062:0.8453, E12-1029:0.8442, C10-2137:0.8430, P14-1054:0.8417, P14-1079:0.8404, P14-2119:0.8381
W14-6103 ==> C10-2015:0.9419, W13-4908:0.9405, W13-4912:0.9390, C14-1132:0.9357, W13-2805:0.9352, P12-1069:0.9312, W14-6108:0.9267, N13-1031:0.9263, W13-3518:0.9254, W13-4903:0.9253
W07-1022 ==> C08-1033:0.9363, N10-2001:0.9348, W09-1901:0.9122, W09-1405:0.8846, W06-3316:0.8665, W12-2409:0.8551, W12-2423:0.8466, C04-1033:0.8158, W10-2107:0.8038, W14-5205:0.8014
Q14-1003 ==> D14-1069:0.8973, E12-3006:0.8910, P14-2061:0.8804, W14-3910:0.8664, W14-3902:0.8660, P13-3002:0.8582, W14-1303:0.8557, N10-1027:0.8473, D13-1084:0.8455, L08-1118:0.8346
N04-4027 ==> W10-2603:0.9863, J02-4003:0.9613, C04-1128:0.9255, C04-1079:0.9196, W12-1513:0.9181, P05-1037:0.9172, W11-0503:0.9102, H05-2003:0.8962, W09-3910:0.8891, D08-1081:0.8889
D13-1142 ==> P14-2013:0.8935, P14-2078:0.8929, P10-2066:0.8766, E14-4021:0.8756, W14-6202:0.8753, W14-3626:0.8727, P13-4023:0.8701, C10-2098:0.8659, C14-1147:0.8589, W12-0508:0.8412
W05-0305 ==> W06-0305:0.9596, W04-0212:0.9401, W10-1832:0.9313, W14-0701:0.9285, W14-4916:0.9254, W10-1817:0.9214, W13-2315:0.9207, I08-7009:0.9140, L08-1093:0.9095, P09-2020:0.9028
P99-1044 ==> L08-1377:0.9642, P99-1008:0.9571, D07-1081:0.9539, W05-0110:0.9538, P09-4011:0.9530, W02-0227:0.9528, W13-4035:0.9521, W10-4304:0.9514, W10-3403:0.9508, N13-1064:0.9503
C00-2159 ==> P11-1133:0.9326, W07-1713:0.9316, W09-3909:0.9269, C08-2019:0.9247, W06-3706:0.9209, L08-1191:0.9194, W08-1207:0.9154, C00-2149:0.9152, W10-2315:0.9117, W14-1102:0.9103
C14-1012 ==> D11-1041:0.8536, W09-2802:0.8273, D13-1128:0.8135, W14-5406:0.8006, P13-1006:0.7926, N13-2010:0.7881, W13-2106:0.7826, S14-1015:0.7771, P14-2097:0.7645, H01-1011:0.7595
C02-1108 ==> P06-2004:0.9203, W06-2913:0.8838, P06-2072:0.8064, W05-1528:0.7951, W07-2039:0.7871, W11-0907:0.7783, P06-3013:0.7781, W10-1013:0.7726, W09-3915:0.7647, P10-3017:0.7636
W14-1820 ==> W11-2308:0.9099, W14-1213:0.8717, W12-2206:0.8642, W14-5605:0.8478, W08-0909:0.8421, W14-1821:0.8326, W12-2208:0.8320, W14-1819:0.8312, C14-1034:0.8302, W12-2019:0.8281
W14-2705 ==> D07-1035:0.8362, S14-2031:0.8302, W12-2205:0.8297, D13-1191:0.8289, W14-2609:0.8288, W14-3906:0.8236, P11-2104:0.8228, C14-1120:0.8212, P09-2043:0.8207, W14-2712:0.8201
W11-1202 ==> W11-1511:0.9917, P06-2065:0.9435, C14-1218:0.9289, P13-1060:0.9209, D08-1085:0.9178, D14-1185:0.9050, P13-1154:0.9044, P12-2016:0.9035, D14-1184:0.9020, P10-1106:0.9007
H05-1106 ==> P06-1099:0.9877, D09-1049:0.9371, W07-1101:0.9095, W14-0813:0.9093, P11-1017:0.9071, C04-1141:0.9056, E06-1043:0.9025, W14-0809:0.9008, C04-1087:0.8989, W05-1006:0.8710
W13-2901 ==> P14-2075:0.8929, P11-2117:0.8487, P13-1151:0.8183, P09-1022:0.8133, W14-1215:0.8078, W10-0707:0.8069, D14-1076:0.8039, P10-2016:0.8036, W14-1214:0.8027, P13-4031:0.8009
W13-1013 ==> P14-2121:0.8869, W11-0812:0.8811, W04-0815:0.8631, W07-0102:0.8575, W13-0902:0.8542, C02-2021:0.8351, W14-2304:0.8282, W10-1822:0.8276, W07-0104:0.8234, W09-2001:0.8224
L08-1604 ==> I05-1069:0.9601, C04-1135:0.9458, H05-1118:0.9442, W04-2502:0.9346, I05-7011:0.9321, L08-1188:0.9287, W08-1806:0.9272, W06-1802:0.9243, I05-1046:0.9186, W06-3913:0.9182
C04-1104 ==> P04-2008:0.9830, P06-2043:0.9699, P07-3016:0.9693, L08-1163:0.9639, P06-1044:0.9541, C04-1161:0.9461, W02-1016:0.9407, W04-2411:0.9394, W02-0905:0.9330, W01-0705:0.9305
D13-1103 ==> D13-1067:0.7916, P14-2040:0.7862, W10-3903:0.7798, P10-1078:0.7680, N13-1086:0.7633, S14-2046:0.7614, P06-3007:0.7573, C10-2122:0.7482, C10-1023:0.7447, C14-1114:0.7442
P13-1051 ==> C14-1133:0.9395, W13-4907:0.9304, P10-1151:0.9296, P07-1122:0.9259, S12-1073:0.9242, C14-1023:0.9236, S10-1068:0.9192, D07-1123:0.9192, D07-1098:0.9191, D11-1114:0.9162
W11-0135 ==> W07-2023:0.8682, W14-2908:0.8323, S12-1032:0.8259, N06-1005:0.8258, N09-1016:0.8178, W07-1412:0.8173, W10-1609:0.8110, W11-2402:0.8087, W05-1210:0.8042, W07-2101:0.8035
W06-0104 ==> I08-4021:0.9263, I08-4009:0.9059, W06-0123:0.9057, I08-7003:0.9018, D08-1111:0.9004, I08-4024:0.8967, I08-2130:0.8805, I05-3005:0.8790, W10-4128:0.8692, W06-0141:0.8628
P00-1078 ==> H01-1070:0.9758, W03-1704:0.9362, I05-1088:0.9135, C00-2116:0.9027, W07-1309:0.8989, W04-0103:0.8963, W14-5817:0.8950, W04-0403:0.8877, W09-2904:0.8828, P01-1013:0.8825
W11-2145 ==> W13-2210:0.8853, N13-1074:0.8677, W14-5709:0.8613, P12-2056:0.8529, E09-1063:0.8503, W13-2502:0.8502, W08-2118:0.8488, P13-2003:0.8487, P12-1079:0.8428, D12-1037:0.8423
P04-2005 ==> W07-2004:0.9651, W04-0852:0.9556, E06-1017:0.9472, W06-1649:0.9444, W07-2055:0.9370, W07-2099:0.9303, W04-0808:0.9279, W04-0802:0.9255, P06-1058:0.9237, C04-1131:0.9231
P14-2008 ==> D10-1007:0.8491, D13-1012:0.8338, P12-2065:0.8329, N12-1009:0.8122, N13-1067:0.8108, P11-3015:0.8103, P11-1150:0.8083, C10-1101:0.8057, P11-1051:0.8053, C14-1021:0.8045
W00-0507 ==> P07-2002:0.9738, L08-1577:0.9720, A00-1004:0.9708, W04-1406:0.9629, A00-1019:0.9460, P00-1006:0.9410, W00-0707:0.9342, W02-1020:0.9257, N04-4028:0.9173, W03-0413:0.9162
W06-2929 ==> P07-1050:0.8889, P06-2101:0.8780, D10-1004:0.8386, W06-2922:0.8377, P11-1068:0.8374, D13-1071:0.8319, W06-2924:0.8303, W06-2928:0.8288, P14-2128:0.8200, P13-2109:0.8190
D07-1016 ==> P12-1102:0.9437, I08-1058:0.9262, P05-2023:0.9112, W14-3902:0.9009, E12-3006:0.8863, D14-1069:0.8792, P14-2061:0.8789, N10-1027:0.8391, W03-1023:0.8323, Q14-1003:0.8184
W00-1407 ==> W00-1402:0.9991, P00-1020:0.9882, P01-1057:0.8322, W08-1106:0.8313, H01-1055:0.7775, W10-2316:0.7754, W09-1904:0.7662, J10-2007:0.7156, W13-3404:0.7127, W08-1206:0.7005
W14-1615 ==> E09-1042:0.9212, C10-2016:0.9173, D10-1083:0.9162, W08-2112:0.9149, P09-1057:0.9077, P10-2039:0.9038, D07-1031:0.9015, P11-5005:0.8997, P13-3017:0.8990, C10-2159:0.8979
C10-2009 ==> S10-1046:0.8342, D10-1031:0.8272, W11-0106:0.8257, W07-2084:0.8225, W07-2049:0.8143, S10-1044:0.8110, D13-1121:0.8046, W07-2103:0.8045, W14-0907:0.8044, W07-2085:0.8021
W13-2260 ==> W13-2237:0.9266, W09-1114:0.9152, D09-1107:0.9136, W10-1702:0.9104, N13-1035:0.9026, D11-1018:0.9004, D13-1139:0.8987, C10-2095:0.8964, D11-1081:0.8938, W10-2915:0.8907
W13-2105 ==> C10-2119:0.7875, L08-1600:0.7848, D09-1043:0.7769, P08-1070:0.7681, D09-1121:0.7652, D11-1106:0.7652, W08-2129:0.7522, D09-1059:0.7514, E14-4031:0.7514, S14-2008:0.7504
S10-1066 ==> W11-0908:0.9568, S10-1059:0.9507, W07-2017:0.9422, W14-3001:0.9404, S10-1065:0.9355, S10-1008:0.9316, W06-2611:0.9226, W09-1127:0.9177, C08-1084:0.9170, W07-2018:0.9092
P09-2073 ==> P10-4008:0.9810, W07-1407:0.9524, S12-1103:0.9017, S13-2006:0.8875, S12-1105:0.8861, S13-2023:0.8816, S13-2022:0.8776, P12-2024:0.8749, S12-1053:0.8694, S12-1064:0.8692
C08-1145 ==> W07-0726:0.8797, W09-0405:0.8593, W10-1743:0.8438, W09-0411:0.8393, C00-2122:0.8356, P13-2068:0.8354, D12-1097:0.8326, W13-2242:0.8275, D10-1055:0.8234, W08-0328:0.8200
W12-3706 ==> S13-2091:0.7887, E14-1064:0.7655, C14-1205:0.7504, P12-1104:0.7472, D14-1011:0.7364, W11-1721:0.7321, W11-0309:0.7246, P13-1041:0.7219, C14-1127:0.7203, N09-1001:0.7173
W07-2075 ==> W10-4173:0.9629, S10-1085:0.9406, W06-3814:0.9249, D10-1012:0.9233, W07-2092:0.9226, W10-4164:0.9197, W06-1669:0.9165, E14-4001:0.9151, J14-3007:0.9145, W07-2096:0.9141
W11-0805 ==> W11-0818:0.9274, P12-2051:0.9249, C04-1140:0.9171, W10-1108:0.9162, E14-4004:0.9159, D14-1024:0.9004, J11-2004:0.9002, W04-0823:0.8959, P11-2024:0.8935, D08-1107:0.8897
W07-2013 ==> W10-3405:0.9711, D08-1015:0.9661, W10-0208:0.9632, L08-1158:0.9563, P07-2034:0.9366, P09-2038:0.9349, W05-0408:0.9313, P05-2008:0.9294, W07-2022:0.9202, S13-2061:0.9198
P11-2099 ==> L08-1618:0.9583, W09-2011:0.9516, C10-2004:0.9503, W09-1606:0.9500, S14-2048:0.9496, P13-2093:0.9473, W14-5805:0.9450, D14-1123:0.9449, P09-2040:0.9443, P08-2028:0.9420
P07-2033 ==> D10-1105:0.9955, D11-1093:0.9945, N09-5005:0.9915, W14-4507:0.9893, I05-1050:0.9868, W04-2118:0.9847, W11-0806:0.9776, J09-2001:0.9717, C04-1124:0.9714, W06-1205:0.9683
W10-2004 ==> W14-2002:0.9371, P10-1121:0.9232, W14-1807:0.9103, D09-1034:0.8867, P10-2012:0.8857, W11-0612:0.8845, D12-1033:0.8809, W11-0605:0.8785, W10-2010:0.8641, E12-1041:0.8639
W12-2505 ==> W13-2261:0.9300, N09-2007:0.9185, C08-1007:0.9095, W11-1217:0.9077, I08-6001:0.8976, I08-2088:0.8918, C10-2010:0.8842, I08-2104:0.8809, C10-1054:0.8728, W10-4005:0.8701
W09-3727 ==> W06-3706:0.9431, I08-7013:0.9345, W10-4313:0.9340, W02-0101:0.9332, P05-2019:0.9322, P13-2044:0.9318, I08-5009:0.9312, W02-1403:0.9302, W11-0146:0.9297, W05-0108:0.9280
J11-2002 ==> W06-3209:0.9661, D09-1070:0.9497, E06-2023:0.9485, I08-1003:0.9480, W02-0602:0.9475, E14-2006:0.9447, P03-1036:0.9446, W05-0504:0.9444, W05-0503:0.9439, C04-1152:0.9418
C02-2007 ==> W09-3835:0.9006, W06-1631:0.9001, E99-1039:0.8889, W06-3303:0.8889, C00-1041:0.8877, N07-2005:0.8863, W09-3032:0.8860, W04-1212:0.8859, W01-1006:0.8853, L08-1401:0.8849
W04-0503 ==> W02-1814:0.9577, W12-2306:0.9571, P99-1079:0.9568, P07-2041:0.9567, W04-1607:0.9563, W10-4323:0.9559, W04-1803:0.9557, W02-1403:0.9556, W04-0502:0.9554, L08-1362:0.9548
W09-3539 ==> W09-0710:0.9533, P10-1145:0.9496, W04-1302:0.9469, P09-4008:0.9436, P01-1021:0.9420, W09-3507:0.9413, P09-2048:0.9389, P99-1032:0.9384, E99-1023:0.9383, H05-2005:0.9381
P13-1115 ==> W09-0211:0.9132, W09-0205:0.8991, P10-1046:0.8786, D07-1042:0.8741, J13-3006:0.8738, W09-0201:0.8715, N10-3005:0.8702, W11-0909:0.8686, E09-1094:0.8682, S12-1007:0.8677
W09-0307 ==> I08-1069:0.9247, N07-1057:0.9053, W13-2710:0.8901, N10-1027:0.8810, W14-3910:0.8672, E09-1099:0.8670, E09-2011:0.8586, W14-5307:0.8402, P13-3002:0.8242, I08-2093:0.8217
W06-1001 ==> W10-2419:0.9466, C04-1025:0.9376, L08-1377:0.9308, W10-3213:0.9295, N10-1077:0.9277, P07-1129:0.9270, W06-3705:0.9257, W09-2821:0.9243, E03-1039:0.9237, W13-2715:0.9236
W06-2113 ==> W04-2608:0.8985, W03-1811:0.8915, W04-0410:0.8828, W07-1417:0.8825, W99-0106:0.8796, E06-2030:0.8796, W09-2901:0.8794, W08-0215:0.8779, W12-1701:0.8778, L08-1435:0.8761
W03-0112 ==> W00-0708:0.9935, C02-1071:0.9802, W03-0812:0.9720, W06-2304:0.9642, P06-1008:0.9603, W03-0802:0.9472, W02-1203:0.9441, P13-4008:0.9413, W03-0807:0.9400, W06-2714:0.9321
N09-1028 ==> D08-1076:0.9045, D13-1201:0.9003, C14-1181:0.8866, D13-1048:0.8843, E12-1074:0.8769, W08-0304:0.8732, D11-1004:0.8721, P12-1032:0.8691, C08-1137:0.8687, P12-1096:0.8683
P13-1104 ==> J14-2001:0.9603, W14-6109:0.9476, D14-1099:0.9449, E14-4006:0.9441, W10-2927:0.9392, S12-1073:0.9348, W14-6108:0.9329, W13-4908:0.9327, W12-6218:0.9323, D12-1029:0.9309
S12-1086 ==> N13-1089:0.9188, P14-2036:0.8974, C10-2048:0.8973, S13-1031:0.8961, S12-1061:0.8907, P12-1091:0.8801, S12-1095:0.8786, S14-2039:0.8743, P13-4028:0.8721, S14-1009:0.8617
C14-1051 ==> P13-1104:0.9278, J14-2001:0.9183, D13-1093:0.9169, W10-2927:0.9124, W13-3518:0.9122, W13-4908:0.9112, P10-1001:0.9108, W14-6109:0.9101, D12-1030:0.9094, E14-4006:0.9087
W11-2033 ==> N09-5002:0.9513, P09-2021:0.9326, W13-4036:0.9325, N09-2034:0.9299, W11-2043:0.9228, W08-0114:0.9116, N04-1028:0.9085, W02-0217:0.9074, P12-2040:0.9064, W02-0216:0.9040
S12-1043 ==> S12-1045:0.9187, D08-1075:0.9152, W10-3023:0.9146, W10-3011:0.9058, W10-3005:0.9007, S12-1036:0.8967, S12-1042:0.8919, W12-3801:0.8908, J12-2005:0.8906, C10-1155:0.8893
W01-1004 ==> W01-1002:0.9982, W07-1705:0.9145, W02-1302:0.8889, N03-4013:0.8748, L08-1578:0.8638, C02-1154:0.8535, P04-3017:0.8457, W03-0509:0.8349, N09-2043:0.8069, W06-2207:0.8048
W10-3214 ==> E09-1079:0.9512, W14-3322:0.9488, W14-0612:0.9436, C08-1098:0.9296, L08-1120:0.9106, W09-3404:0.9100, W09-0706:0.9090, A00-2013:0.9028, W14-5305:0.8886, C00-1042:0.8877
W07-2041 ==> W06-0504:0.9628, E06-1003:0.9288, W10-4160:0.9267, C14-1030:0.9086, D09-1056:0.8884, W07-1703:0.8789, W07-2069:0.8745, P09-2091:0.8743, W10-4159:0.8706, W07-2104:0.8659
W05-0809 ==> P06-2112:0.9080, N06-1013:0.9069, W03-0320:0.9028, W05-0812:0.8931, W05-0819:0.8822, H05-1024:0.8815, W12-0215:0.8809, H05-1009:0.8784, W06-3107:0.8781, D07-1006:0.8772
W01-0808 ==> P02-1004:0.9442, E03-1006:0.9420, N09-2058:0.9343, C02-1036:0.9212, W01-1414:0.9206, C00-2152:0.9191, C04-1097:0.9174, W01-1402:0.9113, C04-1155:0.9047, W02-1601:0.9007
W08-0804 ==> P11-3022:0.9678, W13-1616:0.9456, P08-2065:0.9325, W14-2602:0.9197, W12-3712:0.9189, W12-2507:0.9164, P12-2053:0.9103, D08-1072:0.9062, P11-1013:0.9038, D09-1052:0.9021
W09-2806 ==> N10-3003:0.9842, C10-2106:0.9789, D09-1032:0.9757, P08-1094:0.9753, W06-0707:0.9736, W06-1401:0.9732, W13-3105:0.9720, W13-3103:0.9713, D08-1079:0.9705, P07-2015:0.9673
W06-0124 ==> N07-2050:0.9926, C04-1058:0.9135, I05-3030:0.8846, W06-0134:0.8675, I08-1044:0.8569, I08-4010:0.8532, W10-4126:0.8463, W06-0115:0.8398, I08-4019:0.8390, P05-1062:0.8317
E03-1008 ==> N03-1031:0.8222, W03-0407:0.7893, P06-1043:0.7855, J04-3001:0.7710, N03-1023:0.7538, W10-1614:0.7499, N06-1020:0.7468, N06-5002:0.7355, W14-6106:0.7349, W07-2204:0.7271
D11-1119 ==> W12-2012:0.8584, W09-2111:0.8040, W12-2033:0.8003, W12-2027:0.7998, W10-1502:0.7859, L08-1322:0.7849, W12-2023:0.7834, N10-1019:0.7832, W12-2028:0.7828, W11-1410:0.7780
N06-2040 ==> N04-4012:0.9873, W12-3505:0.9869, P03-2005:0.9863, W07-0303:0.9842, P07-1048:0.9828, W08-0801:0.9771, C10-2178:0.9728, C00-1053:0.9714, C00-1054:0.9691, P04-3033:0.9683
D10-1004 ==> P13-2109:0.9060, D10-1125:0.8916, N12-1054:0.8882, P07-1050:0.8815, P13-2111:0.8814, D13-1093:0.8791, Q13-1012:0.8784, P10-1001:0.8760, C14-1076:0.8753, P14-2107:0.8739
N10-2001 ==> C08-1033:0.9518, W07-1022:0.9348, W09-1901:0.9324, W14-5205:0.8702, W10-2107:0.8699, W12-0911:0.8604, W12-0906:0.8545, W08-1307:0.8524, L08-1109:0.8489, W12-0910:0.8479
W06-1318 ==> W06-1306:0.9931, L08-1009:0.9886, W06-3405:0.9773, N07-1003:0.9766, P10-1102:0.9723, W08-0124:0.9671, C10-2150:0.9508, N07-1004:0.9366, L08-1492:0.9322, N07-4009:0.9319
W14-0207 ==> P10-1083:0.9490, P14-3005:0.9366, W12-2801:0.9278, W12-2802:0.9132, D14-1043:0.9077, D12-1040:0.9007, P09-1010:0.8955, W05-0614:0.8845, P00-1013:0.8840, Q13-1005:0.8768
W14-1010 ==> D12-1089:0.9287, D07-1103:0.9210, W11-2154:0.9016, W07-0724:0.8931, N09-1015:0.8919, D12-1088:0.8888, W09-0423:0.8791, L08-1131:0.8727, C10-1056:0.8699, N07-2053:0.8671
W07-1523 ==> W06-2715:0.8821, L08-1345:0.8665, W08-2230:0.8530, W04-0604:0.8288, L08-1331:0.8167, J07-3005:0.8146, W03-0804:0.8085, P01-1040:0.8054, W04-0210:0.8035, E03-1066:0.8018
W03-0407 ==> E03-1008:0.7893, N06-1020:0.7686, P07-1078:0.7590, P05-1044:0.7406, D08-1071:0.7328, P09-1061:0.7150, W14-6106:0.7120, W11-0223:0.7049, N06-5002:0.6843, W03-0201:0.6827
W12-3157 ==> W09-0427:0.9369, W11-2140:0.9359, L08-1113:0.9314, W14-3321:0.9313, W08-0321:0.9301, P13-1032:0.9261, W14-3317:0.9259, E12-2003:0.9253, W14-3313:0.9235, W12-3141:0.9218
C02-1031 ==> P99-1051:0.9607, W13-1206:0.9581, P99-1079:0.9558, W99-0611:0.9539, W05-0506:0.9531, W10-3407:0.9524, W02-0101:0.9521, W01-1009:0.9518, E03-1022:0.9510, A00-2025:0.9509
C04-1070 ==> S12-1093:0.9507, W99-0106:0.8720, W04-1512:0.8669, P08-1051:0.8653, W03-2120:0.8627, L08-1148:0.8620, E99-1031:0.8613, W06-3510:0.8609, L08-1327:0.8554, L08-1417:0.8547
P04-3030 ==> P05-3024:0.9460, H01-1068:0.9443, W04-0602:0.9410, W04-2102:0.9373, W12-0411:0.9370, C00-1055:0.9367, W11-2609:0.9359, P99-1014:0.9358, W07-1021:0.9357, P05-2002:0.9347
N06-1041 ==> W14-1615:0.8761, I05-3005:0.8747, E09-1042:0.8585, W11-2208:0.8563, P10-2039:0.8437, W10-4109:0.8374, W08-2112:0.8339, D07-1031:0.8334, P11-5005:0.8318, D10-1083:0.8317
