C02-1122 ==> H01-1043:0.9572, C04-1174:0.9396, W02-1608:0.8742, I08-2110:0.8342, N06-1023:0.7811, P06-2076:0.7622, P09-2052:0.7531, I05-1005:0.7437, P06-2097:0.7207, C02-1051:0.7091
I08-5013 ==> W10-4113:0.9246, I08-5003:0.8987, N10-1110:0.8985, W07-0206:0.8977, P06-3006:0.8823, W06-0113:0.8597, W07-1005:0.8564, N07-1001:0.8480, W06-3801:0.8310, P04-1086:0.8285
W14-5202 ==> W10-4149:0.9878, N12-1002:0.8679, P11-2020:0.8655, N06-2031:0.8638, E14-4032:0.8429, N13-2012:0.8421, W12-1617:0.8407, W05-0211:0.8387, P08-2043:0.8377, W12-1612:0.8359
C10-2095 ==> P10-2005:0.8270, W10-2917:0.8242, D12-1041:0.7970, D11-1082:0.7910, N07-2022:0.7900, I08-4001:0.7809, W14-3325:0.7788, C08-2014:0.7757, P12-1033:0.7704, D14-1017:0.7682
P13-2135 ==> W13-2243:0.9295, S12-1053:0.9089, W12-3122:0.9019, W13-2231:0.8742, P12-2024:0.8703, S12-1103:0.8685, N10-1045:0.8573, S12-1105:0.8557, S12-1064:0.8504, S12-1065:0.8471
P14-2011 ==> L08-1305:0.8413, C08-1088:0.8290, P13-1147:0.8244, P08-2023:0.8230, W12-4106:0.8212, P11-1056:0.8210, C14-1220:0.8198, W10-4115:0.8190, C10-1018:0.8182, N07-1015:0.8179
W03-2911 ==> W09-3822:0.8724, W09-3816:0.8595, P04-2011:0.8522, W13-4903:0.8518, W03-2906:0.8398, W04-1604:0.8208, W09-3825:0.8175, W09-3819:0.7940, W13-4916:0.7918, C00-2143:0.7866
P09-1079 ==> C14-1127:0.8554, P08-2059:0.8506, W10-2918:0.8384, C10-2152:0.8338, P11-1013:0.8232, P10-2061:0.8106, P09-1001:0.8039, C10-2173:0.8032, P10-2048:0.7989, D09-1061:0.7944
W13-4049 ==> W14-4316:0.7489, P14-1004:0.7450, W09-3951:0.7380, W12-1637:0.7329, W11-2006:0.6910, W10-4345:0.6868, S14-1017:0.6779, P10-2057:0.6697, P09-1101:0.6696, P09-2062:0.6678
W10-0715 ==> S12-1015:0.9110, W14-3327:0.8942, L08-1110:0.8919, W14-0817:0.8891, W12-0108:0.8821, W14-3617:0.8781, W13-3521:0.8749, W14-3332:0.8732, E12-2003:0.8730, W14-5815:0.8728
E14-1005 ==> P13-1012:0.8265, W11-1907:0.7855, W11-1920:0.7846, W12-4507:0.7826, P14-1005:0.7824, D13-1203:0.7761, W11-1915:0.7717, D13-1027:0.7670, D12-1067:0.7669, W11-1914:0.7659
P04-1084 ==> P04-1083:0.9759, C02-1003:0.8761, N03-1021:0.8307, H05-1101:0.7739, W05-1507:0.7595, C04-1012:0.6919, N07-1019:0.6896, C08-2026:0.6849, P11-2070:0.6673, W09-3805:0.6643
L08-1085 ==> W07-1529:0.8150, W10-1829:0.7962, W06-1710:0.7235, N07-3003:0.7181, W13-4011:0.7146, S14-2148:0.6993, W10-4335:0.6961, P12-1105:0.6954, L08-1620:0.6952, C08-1052:0.6941
N10-1070 ==> I08-6001:0.9567, P07-1110:0.9559, N09-2007:0.9553, W06-1009:0.9522, C08-1017:0.9512, C08-1007:0.9434, L08-1582:0.9376, J05-4003:0.8570, W12-2505:0.8273, C08-1030:0.8119
P06-4017 ==> W06-0608:0.9360, I05-6004:0.9326, P05-1041:0.9289, W04-1902:0.8981, W04-1901:0.8850, W14-2202:0.8776, P05-2024:0.8727, P03-2033:0.8716, I05-6011:0.8703, P14-5009:0.8698
W04-3103 ==> W09-1318:0.9044, N07-2036:0.9012, W10-3012:0.8880, W08-1203:0.8744, W09-1420:0.8723, W09-3012:0.8556, W10-3022:0.8543, W10-1103:0.8365, W08-0607:0.7922, N09-2027:0.7900
D12-1087 ==> W12-3305:0.8835, W14-3104:0.8712, P13-2027:0.8690, D11-1024:0.8653, W14-3110:0.8644, E14-4005:0.8618, N12-3004:0.8597, D14-1138:0.8319, W14-4410:0.7757, N10-1012:0.7734
N01-1016 ==> W02-1007:0.9351, N04-1011:0.9323, W02-1035:0.9127, N04-4032:0.9021, P04-1005:0.8793, W05-1519:0.8633, N04-1018:0.8633, N06-2019:0.8521, C10-1154:0.8507, N04-4040:0.8501
W08-0113 ==> P14-2003:0.9269, W13-4010:0.9079, P06-2051:0.8756, N04-1004:0.8724, W12-1621:0.8666, P04-1001:0.8517, D10-1046:0.8513, W08-0103:0.8438, N06-2040:0.8419, W10-4302:0.8383
W13-3407 ==> W13-3405:0.9959, P04-1031:0.7946, W03-0905:0.7859, L08-1452:0.7845, W02-0106:0.7777, W09-2818:0.7740, C10-2001:0.7734, W10-2410:0.7665, W02-1303:0.7525, C00-2091:0.7502
P12-1108 ==> D09-1072:0.8476, W14-1615:0.8015, P13-3017:0.7989, P10-2038:0.7952, D09-1071:0.7918, D10-1078:0.7896, C10-2016:0.7824, D12-1086:0.7823, P11-2009:0.7771, P12-2071:0.7706
C00-1058 ==> W06-1664:0.8590, W04-0858:0.8484, W08-2005:0.7899, J11-2009:0.7889, C08-2035:0.7886, P06-2077:0.7717, N07-1043:0.7603, I05-2018:0.7540, L08-1458:0.7529, W02-1029:0.7447
W13-2221 ==> W12-3150:0.8708, P13-1080:0.8592, W11-2126:0.8375, P11-2073:0.8336, D10-1063:0.8243, N09-1026:0.8146, E12-1068:0.8134, W11-1011:0.8081, W07-0701:0.8074, D14-1028:0.8045
N13-1123 ==> D12-1006:0.8743, W14-2715:0.8577, P11-1035:0.8499, P13-2092:0.8468, P12-2013:0.8377, W13-4006:0.8352, D14-1124:0.8236, P12-1034:0.8163, W12-3710:0.8132, P12-1042:0.8125
P10-1029 ==> S12-1028:0.8106, W11-0208:0.7883, P09-1045:0.7701, W09-2201:0.7686, W12-2402:0.7677, W13-5007:0.7440, W12-4107:0.7400, D08-1106:0.7399, P11-2006:0.7382, W09-2207:0.7359
P08-4001 ==> N07-4014:0.9910, W07-0302:0.9443, W08-0119:0.9332, W12-1606:0.9307, P10-3002:0.9257, W12-1805:0.9227, N13-2013:0.9168, J08-4002:0.9119, W14-4342:0.9119, P08-2031:0.9091
C14-1073 ==> W12-6213:0.9335, W12-6212:0.9321, W14-2806:0.9320, W12-6201:0.9313, W12-6205:0.9267, W12-6202:0.9249, W12-1003:0.8778, W12-6209:0.8315, W05-1106:0.8304, P13-2054:0.7701
P14-1072 ==> D10-1058:0.8237, E14-4036:0.8223, P13-1079:0.8192, W13-2803:0.8130, P12-3008:0.8046, W14-3359:0.7989, P12-2060:0.7953, W14-3363:0.7932, D14-1197:0.7834, E12-3008:0.7821
S14-2005 ==> P14-1082:0.9321, S14-2132:0.9156, S10-1053:0.8649, S13-2033:0.8534, S10-1024:0.8431, W12-4201:0.8194, S10-1002:0.8118, W11-2203:0.8100, S10-1054:0.8010, W09-2412:0.7991
P13-1020 ==> D13-1156:0.8212, P14-1117:0.7846, D13-1047:0.7713, D14-1195:0.7611, P12-2068:0.7556, P11-1049:0.7467, P14-2054:0.7447, D12-1022:0.7387, W09-1802:0.7379, P14-2052:0.7214
W01-0725 ==> W01-0724:0.9645, W01-0723:0.9559, I05-2041:0.9392, W01-0708:0.9311, C00-2089:0.9269, W00-0732:0.9226, P07-2051:0.7742, P05-3021:0.7670, W01-1315:0.7466, W03-0505:0.7399
N07-1058 ==> W08-0911:0.9347, E09-1027:0.9157, N12-1063:0.9044, E09-3003:0.8920, D09-1094:0.8780, E09-2013:0.8540, P05-1065:0.8372, W08-0909:0.8345, C14-1034:0.8340, C10-1062:0.8337
P08-1117 ==> W10-3910:0.8080, D11-1134:0.7647, W10-0913:0.7636, D08-1062:0.7628, W10-0904:0.7516, P09-1115:0.7501, P10-1013:0.7433, P11-1162:0.7331, D10-1031:0.7309, P07-2040:0.7286
W14-6103 ==> W12-3407:0.8554, D11-1036:0.8432, J14-2002:0.8429, W14-4814:0.8394, J13-1002:0.8389, C10-2013:0.8359, D07-1123:0.8294, C10-2015:0.8267, P14-2107:0.8183, P11-2033:0.8135
W07-1022 ==> N10-2001:0.8712, W09-1901:0.8673, C08-1033:0.8666, W07-1031:0.8556, W06-3328:0.8245, W06-3316:0.8088, D14-1097:0.7974, P08-1039:0.7683, W09-1405:0.7648, C04-1033:0.7598
Q14-1003 ==> E12-3006:0.8243, P12-1102:0.8177, D14-1069:0.8116, P14-2061:0.8107, P14-2016:0.8049, W14-3902:0.8031, W14-0402:0.8005, W14-5307:0.7932, L08-1118:0.7869, D13-1084:0.7862
N04-4027 ==> W10-2603:0.9406, J02-4003:0.9363, C04-1079:0.9255, C04-1128:0.9123, P05-1037:0.9108, H05-2003:0.8726, W09-3910:0.8416, W09-3934:0.8330, W12-1513:0.8295, W01-1011:0.8182
D13-1142 ==> P14-2078:0.8283, P14-2076:0.8229, N10-1072:0.8155, W14-6202:0.8066, D09-1139:0.7879, E14-4021:0.7859, W14-3626:0.7850, P14-2013:0.7819, E09-1007:0.7813, C14-1196:0.7813
W05-0305 ==> W06-0305:0.9202, W04-0212:0.8947, W10-1817:0.8781, W12-3310:0.8438, L08-1093:0.8402, W13-2315:0.8383, W10-1832:0.8347, L08-1050:0.8309, I08-7009:0.8242, W14-0701:0.8240
P99-1044 ==> W10-3403:0.7838, W11-2028:0.7825, W04-2313:0.7768, C00-2161:0.7726, H05-1121:0.7693, W02-0112:0.7692, W10-4318:0.7683, W05-0108:0.7659, N09-2050:0.7658, W10-4335:0.7641
C00-2159 ==> P10-1115:0.8529, D09-1146:0.8116, P11-1133:0.8094, N09-4008:0.8073, W11-0801:0.7854, I05-1059:0.7745, P11-2084:0.7738, W05-0802:0.7632, I08-2120:0.7597, C04-1117:0.7559
C14-1012 ==> D11-1041:0.8034, D13-1128:0.7944, P14-2097:0.7789, P13-2138:0.7711, D13-1072:0.7633, P12-1038:0.7561, P13-1006:0.7478, W09-2802:0.7411, W14-5406:0.7315, D10-1040:0.7157
C02-1108 ==> P06-2004:0.8766, W06-2913:0.8566, P08-2067:0.7404, W05-1011:0.7290, D09-1098:0.7283, L08-1053:0.7194, P09-2089:0.6924, P10-4004:0.6894, P06-1046:0.6880, I05-1019:0.6870
W14-1820 ==> W11-2308:0.9160, W14-1819:0.9070, W14-1821:0.8946, W14-1213:0.8937, W12-2207:0.8758, W10-1001:0.8421, D12-1043:0.8317, W14-3706:0.8124, C14-1033:0.8107, W12-2208:0.8045
W14-2705 ==> W12-2205:0.7668, W14-1305:0.7541, N13-1078:0.7512, W14-3906:0.7319, D10-1007:0.7263, C14-1205:0.7209, W13-2402:0.7197, W14-2609:0.7138, C10-2011:0.7032, E14-3007:0.7025
W11-1202 ==> W11-1511:0.9962, P06-2065:0.9427, C14-1218:0.9068, N09-4008:0.8781, D14-1185:0.8617, P12-2016:0.8515, D08-1085:0.8448, D14-1184:0.8408, W13-3009:0.8389, P13-1060:0.8340
H05-1106 ==> P06-1099:0.9683, P11-1017:0.8999, W03-1811:0.8858, L08-1448:0.8794, W14-0809:0.8654, W04-0410:0.8645, C04-1141:0.8602, W14-0813:0.8592, W07-1101:0.8575, W02-0308:0.8358
W13-2901 ==> W14-1214:0.8500, P14-2075:0.8262, W14-5606:0.8207, W14-1215:0.7984, W13-2902:0.7855, D11-1038:0.7833, C14-1188:0.7822, W14-1210:0.7802, E12-1036:0.7746, D13-1055:0.7631
W13-1013 ==> W11-0812:0.8381, W10-1812:0.7956, E06-2013:0.7771, W10-1822:0.7769, E09-1086:0.7413, D14-1216:0.7223, W11-0132:0.7217, D13-1145:0.7065, P14-2121:0.6985, W10-1810:0.6934
L08-1604 ==> I05-1069:0.9329, I05-1046:0.9171, L08-1188:0.8986, C04-1135:0.8925, H05-1118:0.8818, W08-1806:0.8776, W09-2508:0.8770, W04-2502:0.8677, W04-1806:0.8667, W07-2019:0.8612
C04-1104 ==> P06-2043:0.9811, W02-0905:0.9434, P04-2008:0.9408, C04-1161:0.9188, W05-1009:0.9141, P07-3016:0.9045, W01-0705:0.8534, W04-2411:0.8506, P06-1044:0.8501, L08-1163:0.8439
D13-1103 ==> D09-1044:0.7120, N12-1080:0.7114, L08-1189:0.7108, W08-0208:0.7068, S14-2095:0.7053, P14-3009:0.6921, N12-1041:0.6891, W05-0101:0.6857, N06-2006:0.6857, D12-1065:0.6838
P13-1051 ==> D11-1113:0.8251, C10-2129:0.8196, E09-1047:0.8193, S14-2008:0.8110, W14-6109:0.8053, W12-0503:0.8050, J13-1003:0.8027, W13-4916:0.7923, E12-1007:0.7899, C10-1093:0.7895
W11-0135 ==> W07-1406:0.8388, W10-1609:0.8188, D09-1010:0.7924, S14-2049:0.7859, W09-2507:0.7830, W07-1412:0.7820, W10-2804:0.7734, W11-1302:0.7700, W07-2023:0.7648, E09-1025:0.7608
W06-0104 ==> I08-7003:0.9113, I08-4021:0.8945, A00-2005:0.8616, I05-2033:0.8371, I05-1048:0.8289, I08-4024:0.8282, I05-3031:0.8159, D08-1111:0.8056, I08-2130:0.8044, I08-4028:0.7907
P00-1078 ==> H01-1070:0.9951, W03-1704:0.9334, C00-2116:0.9227, I05-1088:0.9136, W02-1605:0.8802, W04-0103:0.8477, P01-1013:0.8370, W03-1713:0.8201, W07-1309:0.8200, W13-1008:0.8142
W11-2145 ==> W12-3144:0.8144, W10-1719:0.7889, W13-2210:0.7588, P11-3001:0.7587, W13-2264:0.7506, W14-0612:0.7440, W08-0303:0.7410, W13-2223:0.7408, W12-1011:0.7393, L08-1120:0.7388
P04-2005 ==> H05-1069:0.8999, W06-1649:0.8957, W04-0808:0.8789, P06-1058:0.8779, W04-0852:0.8729, W07-2099:0.8685, W04-0849:0.8653, W07-2004:0.8507, W04-0843:0.8472, W06-2007:0.8430
P14-2008 ==> N12-1073:0.7970, P11-3015:0.7958, N13-1067:0.7830, W12-4303:0.7545, N12-1009:0.7407, W14-5902:0.7166, P11-1051:0.6999, C10-1098:0.6981, W11-0502:0.6953, C10-1101:0.6946
W00-0507 ==> L08-1577:0.9255, P07-2002:0.9175, W04-1406:0.9140, A00-1004:0.8980, A00-1019:0.8704, W14-3338:0.8543, W02-1020:0.8441, W00-0707:0.8431, P00-1006:0.8384, W12-3111:0.8369
W06-2929 ==> P06-2101:0.9158, P07-1050:0.7985, W06-2920:0.7878, W06-2938:0.7683, W06-2928:0.7484, W06-2924:0.7466, W06-2934:0.7414, W06-2922:0.7264, W06-2936:0.7208, W05-1504:0.6941
D07-1016 ==> P12-1102:0.9252, I08-1058:0.9107, P05-2023:0.9092, N10-1027:0.8470, P14-2061:0.8272, P12-3005:0.8190, W14-5307:0.8113, D13-1084:0.8109, W14-3902:0.8078, W14-3910:0.7992
W00-1407 ==> W00-1402:0.9991, P00-1020:0.9608, W08-1106:0.8451, P01-1057:0.8410, H01-1055:0.7737, W09-1904:0.7183, W10-2316:0.7099, P08-1080:0.6931, W14-0705:0.6739, W11-1416:0.6588
W14-1615 ==> P10-1051:0.8530, C08-1008:0.8500, D12-1075:0.8397, D10-1083:0.8341, Q14-1009:0.8311, W12-1909:0.8252, D09-1072:0.8221, P14-2132:0.8132, D12-1086:0.8074, Q13-1007:0.8067
C10-2009 ==> D10-1031:0.8290, W11-0106:0.8017, W07-2045:0.7667, W07-2080:0.7619, C08-1108:0.7598, W10-3406:0.7562, W11-0910:0.7535, P11-1146:0.7422, L08-1018:0.7413, P05-2006:0.7411
W13-2260 ==> D12-1103:0.8433, D13-1022:0.8331, D14-1131:0.8259, D13-1083:0.8223, W09-0437:0.8183, W09-1114:0.8044, S14-2030:0.8003, E12-1013:0.7966, W10-3801:0.7954, W11-2139:0.7940
W13-2105 ==> W10-4237:0.7741, W14-0803:0.7182, C10-2129:0.6845, W09-1212:0.6836, W12-1506:0.6779, P11-2003:0.6727, W14-1208:0.6710, W09-1210:0.6694, S14-2068:0.6654, C10-3009:0.6642
S10-1066 ==> W14-3001:0.8684, W07-2021:0.8442, L08-1226:0.8312, S10-1059:0.8274, I05-2036:0.8242, W14-2413:0.8240, S10-1065:0.8213, W11-0113:0.8209, W07-2038:0.8151, S10-1008:0.8105
P09-2073 ==> P10-4008:0.9603, W07-1407:0.9171, W07-1422:0.8150, S12-1103:0.8015, E14-3009:0.7951, W14-2414:0.7882, P08-1051:0.7868, S12-1093:0.7841, S13-2099:0.7621, S12-1107:0.7585
C08-1145 ==> E09-1017:0.7762, C14-1112:0.7412, W13-2239:0.7242, W09-0405:0.7023, E12-1036:0.7005, W08-0328:0.6965, W11-2120:0.6953, P12-3022:0.6931, D07-1029:0.6820, P14-1104:0.6775
W12-3706 ==> P10-1043:0.7117, C10-2152:0.6896, W14-0311:0.6584, W13-2236:0.6580, W11-1724:0.6575, W14-2602:0.6545, P10-2048:0.6537, P12-2006:0.6515, D13-1023:0.6500, P11-1013:0.6490
W07-2075 ==> W10-4173:0.9024, W07-2096:0.9015, W07-2087:0.9009, J14-3007:0.8982, W10-4166:0.8904, W07-2092:0.8849, W10-4161:0.8801, W10-4164:0.8746, W07-2107:0.8713, S10-1085:0.8701
W11-0805 ==> W11-0818:0.8904, P12-2051:0.8769, E14-4004:0.8702, W04-0823:0.8602, W10-1108:0.8450, P11-3018:0.8316, L08-1454:0.8248, P09-2009:0.8242, C04-1140:0.8100, D14-1024:0.7947
W07-2013 ==> W10-0208:0.9013, W10-3405:0.8904, L08-1158:0.8881, D08-1015:0.8808, W05-0408:0.8162, S13-2061:0.7645, I08-1040:0.7620, P09-2038:0.7609, I08-1038:0.7582, W14-2623:0.7582
P11-2099 ==> C08-1031:0.8730, C10-1020:0.8568, E12-1062:0.8237, W12-4301:0.8023, W07-1018:0.7965, C14-2025:0.7892, W13-2705:0.7830, W14-5805:0.7746, W10-1815:0.7735, W14-5806:0.7722
P07-2033 ==> D10-1105:0.9960, W14-4507:0.9960, D11-1093:0.9947, W04-2118:0.9267, I05-1050:0.9184, N09-5005:0.9062, J09-2001:0.9018, C04-1124:0.8946, W06-1205:0.8676, W11-2502:0.8674
W10-2004 ==> P10-1121:0.9302, W14-2002:0.8840, C08-1099:0.8768, D12-1033:0.8766, W14-1807:0.8710, N13-1010:0.8689, W11-0612:0.8627, P10-2012:0.8508, W10-2010:0.8498, D09-1034:0.8439
W12-2505 ==> I08-6001:0.8709, W13-2261:0.8601, C08-1007:0.8563, W06-1009:0.8523, P07-1110:0.8497, L08-1582:0.8492, N09-2007:0.8490, C08-1017:0.8473, J05-4003:0.8466, C10-2010:0.8445
W09-3727 ==> W08-2223:0.9741, L08-1239:0.8141, C08-1092:0.8036, N13-1051:0.7981, W09-3744:0.7926, W06-2302:0.7906, W02-2033:0.7899, W13-1201:0.7894, W09-3205:0.7881, P10-5006:0.7880
J11-2002 ==> W04-0102:0.8899, I08-3007:0.8563, E06-2023:0.8512, I08-1003:0.8492, W06-3208:0.8435, W05-0503:0.8396, D09-1070:0.8383, E14-2006:0.8381, W02-0601:0.8329, W04-0105:0.8240
C02-2007 ==> W02-1816:0.8918, P14-5009:0.8053, W11-0905:0.7865, P03-2033:0.7853, W07-1521:0.7793, P05-1041:0.7747, W05-0108:0.7728, W04-1902:0.7717, W14-2202:0.7631, I05-6011:0.7586
W04-0503 ==> W04-0502:0.9882, W04-0507:0.9458, W04-0505:0.9010, W06-1908:0.8705, L08-1135:0.8701, E06-3006:0.8673, W02-1904:0.8540, C00-1039:0.8535, H05-1076:0.8481, W03-0908:0.8450
W09-3539 ==> W12-0113:0.7575, L08-1218:0.7575, W13-2814:0.7535, P05-3023:0.7475, W09-2906:0.7451, W02-0710:0.7398, P02-1052:0.7244, C04-1114:0.7179, L08-1257:0.7125, N04-3003:0.7124
P13-1115 ==> E12-1038:0.8429, P10-1046:0.8178, S12-1025:0.8146, D14-1057:0.7954, P10-1045:0.7891, D08-1007:0.7631, J14-3005:0.7622, E12-1051:0.7613, D07-1039:0.7601, W09-0211:0.7596
W09-0307 ==> I08-1069:0.9459, N07-1057:0.9405, N10-1027:0.9245, E09-2011:0.9116, E12-3006:0.9095, E09-1099:0.9091, P12-3005:0.8829, P14-2061:0.8783, W14-3910:0.8749, W14-3902:0.8723
W06-1001 ==> W10-2505:0.9022, L08-1362:0.8838, E09-2016:0.8355, P08-2066:0.8341, W10-3213:0.8055, W09-0712:0.8041, W11-2305:0.8031, W10-1304:0.8011, W00-1428:0.7987, P11-4007:0.7934
W06-2113 ==> W04-2608:0.9493, W07-1608:0.9151, W06-2105:0.7573, W12-0514:0.7536, W00-0702:0.7395, W02-0802:0.7386, W13-1014:0.7251, W06-1207:0.7196, W07-2040:0.7107, L08-1259:0.7062
W03-0112 ==> W00-0708:0.9934, C02-1071:0.9480, W03-0812:0.9362, P13-4008:0.9042, W04-0607:0.9000, W04-0311:0.8947, P06-1008:0.8936, L08-1449:0.8806, W03-1313:0.8792, W03-0802:0.8788
N09-1028 ==> P12-1096:0.8183, D08-1076:0.8173, W10-1736:0.7962, E14-1026:0.7812, C10-1043:0.7761, E12-1074:0.7645, D08-1089:0.7516, W11-2102:0.7488, W11-1009:0.7479, W08-0304:0.7359
P13-1104 ==> J14-2001:0.8647, D08-1059:0.8548, W13-3518:0.8521, P10-2035:0.8424, P12-1069:0.8397, D14-1099:0.8295, D12-1029:0.8286, C14-1051:0.8273, J14-2002:0.8263, P11-2125:0.8258
S12-1086 ==> P14-2036:0.8648, P12-1091:0.8319, P13-4028:0.8287, S12-1078:0.8267, N13-1089:0.8256, C10-2048:0.8233, P13-2026:0.8220, S12-1095:0.8183, P12-2028:0.8090, S12-1083:0.8069
C14-1051 ==> P14-1125:0.9166, P13-2110:0.8797, Q13-1025:0.8767, C14-1026:0.8706, P12-1110:0.8669, Q13-1012:0.8655, C14-2004:0.8651, C14-1076:0.8635, P14-6008:0.8633, P13-2020:0.8622
W11-2033 ==> W08-0114:0.9248, W06-1302:0.9171, N04-1028:0.9113, W02-0216:0.8989, W02-0217:0.8843, W01-1609:0.8798, W03-2122:0.8653, N09-5002:0.8613, W11-2004:0.8495, W13-4036:0.8438
S12-1043 ==> S12-1042:0.8731, S12-1036:0.8723, S12-1045:0.8689, W10-3014:0.8564, S12-1044:0.8482, W10-3106:0.8478, W10-3007:0.8475, W10-3005:0.8461, S13-2083:0.8456, W10-3009:0.8449
W01-1004 ==> W01-1002:0.9985, W01-1003:0.8451, W01-1012:0.8333, W01-1001:0.8288, W07-1705:0.7957, W02-1302:0.7379, P04-3017:0.7292, L08-1578:0.7096, W01-1006:0.7002, C00-1079:0.6907
W10-3214 ==> W09-3404:0.9651, E09-1079:0.9631, W14-0612:0.9237, W09-0706:0.9199, W14-3322:0.8922, L08-1120:0.8815, C08-1098:0.8714, W07-1709:0.8490, W14-5310:0.8323, W14-5305:0.8279
W07-2041 ==> W06-0504:0.9511, D09-1056:0.8784, L08-1126:0.8571, C14-1030:0.8537, I08-1020:0.8509, W10-4160:0.8509, W07-2079:0.8492, W07-2069:0.8395, W07-1703:0.8241, P09-2091:0.8185
W05-0809 ==> W05-0810:0.8884, W06-3107:0.8669, W03-0320:0.8575, W05-0811:0.8223, W05-0812:0.8181, W05-0815:0.8151, H05-1024:0.8116, W05-0819:0.7966, W05-0817:0.7939, W05-0813:0.7921
W01-0808 ==> E03-1006:0.9164, P02-1004:0.9124, C04-1097:0.9079, C02-1036:0.9054, C00-2152:0.8720, N01-1019:0.8306, W01-1402:0.8221, W03-0312:0.8151, W01-1414:0.8082, N09-2058:0.7986
W08-0804 ==> P11-3022:0.9643, W12-3712:0.9008, P08-2065:0.9000, P10-2061:0.8812, W14-2602:0.8795, W13-1616:0.8717, P12-2053:0.8711, D09-1052:0.8613, P07-1056:0.8573, D12-1119:0.8506
W09-2806 ==> W06-1401:0.9565, C10-2122:0.9436, W04-1003:0.9362, W13-3101:0.9280, P09-2027:0.9205, P12-2070:0.9137, W13-3103:0.9074, C10-2106:0.8974, E09-1084:0.8963, W06-0707:0.8900
W06-0124 ==> N07-2050:0.9726, C04-1058:0.9065, I05-3030:0.8212, W06-0134:0.8154, I08-4019:0.8009, W04-1105:0.7856, I08-4032:0.7841, W03-1709:0.7807, L08-1355:0.7796, W06-0135:0.7720
E03-1008 ==> W03-0407:0.7623, N03-1031:0.7541, J04-3001:0.7534, P06-1043:0.7318, N06-1020:0.7228, N03-1023:0.7095, W10-2606:0.6858, P02-1046:0.6790, W03-1015:0.6713, W10-1614:0.6671
D11-1119 ==> P11-4005:0.6745, W12-2025:0.6663, W13-1725:0.6596, W13-3605:0.6593, W13-1706:0.6577, W14-1810:0.6529, W13-1712:0.6528, W09-2107:0.6515, W12-2032:0.6498, W14-1813:0.6444
N06-2040 ==> W07-0303:0.9401, P03-2005:0.9395, W06-1412:0.9384, N04-4012:0.9295, W12-3505:0.9105, P04-3021:0.9075, C10-2178:0.9006, N04-4011:0.8958, P07-1048:0.8942, P04-1001:0.8919
D10-1004 ==> P13-2109:0.8511, D10-1125:0.8474, D08-1016:0.8345, Q13-1004:0.8238, P14-2107:0.8089, D13-1093:0.8086, N10-1117:0.8028, Q14-1004:0.7905, P09-1039:0.7893, P14-1019:0.7889
N10-2001 ==> C08-1033:0.9098, W09-1901:0.9006, W07-1022:0.8712, W08-1305:0.8206, L08-1306:0.8161, W12-0910:0.8112, W06-3316:0.8102, W12-0906:0.8084, W08-1307:0.8056, W12-0911:0.8050
W06-1318 ==> W06-1306:0.9920, L08-1009:0.9836, N07-1003:0.9393, P10-1102:0.9379, W08-0124:0.9142, W08-0120:0.8893, J05-3001:0.8792, J12-2009:0.8647, W10-1818:0.8586, W06-3405:0.8559
W14-0207 ==> P10-1083:0.9670, W12-2802:0.9268, W12-2801:0.8967, P09-1110:0.8807, D12-1040:0.8730, C10-2102:0.8526, P11-1028:0.8509, Q13-1005:0.8473, D14-1134:0.8440, N13-1103:0.8362
W14-1010 ==> D12-1089:0.9106, P09-2060:0.8678, D14-1016:0.8435, W09-1505:0.8418, L08-1131:0.8322, D07-1103:0.8125, N09-1015:0.8001, C10-1056:0.7987, W11-2154:0.7938, D13-1023:0.7758
W07-1523 ==> L08-1345:0.8794, W08-2230:0.8695, P05-2010:0.8689, W06-2715:0.8364, W04-0604:0.8052, L08-1331:0.7469, W03-1902:0.7418, H05-1001:0.7410, W03-0804:0.7356, W04-0210:0.7297
W03-0407 ==> E03-1008:0.7623, P05-1044:0.7509, W11-0223:0.7390, N06-1020:0.7270, W04-2405:0.6943, N03-1006:0.6615, P09-1061:0.6535, P04-1062:0.6520, W03-0806:0.6491, W10-1614:0.6349
W12-3157 ==> P13-1079:0.8086, W10-1710:0.8028, D09-1107:0.7906, P11-3001:0.7872, N13-1074:0.7844, W12-3158:0.7783, W08-0318:0.7708, E14-1061:0.7659, P10-1049:0.7654, W13-2810:0.7654
C02-1031 ==> W01-1305:0.9906, P09-1071:0.9203, D08-1074:0.9165, W11-0143:0.8768, W10-4205:0.8749, W04-0208:0.8668, S10-1076:0.8560, W12-1502:0.8527, W06-2111:0.8487, N03-5006:0.8478
C04-1070 ==> S12-1093:0.9477, P06-1068:0.8721, W07-1407:0.7805, P10-4008:0.7730, S13-2022:0.7398, P09-2073:0.7331, P08-1051:0.7228, W14-2414:0.7217, S10-1004:0.7171, W07-1422:0.7104
P04-3030 ==> W12-1519:0.8320, E03-2005:0.7903, W09-3205:0.7549, W14-4722:0.7525, L08-1340:0.7411, W03-2904:0.7396, P05-2019:0.7361, W02-1701:0.7238, I08-7013:0.7216, L08-1495:0.7070
N06-1041 ==> I05-3005:0.8501, P05-1046:0.8277, P07-1094:0.8117, D08-1036:0.7893, D07-1031:0.7880, D08-1004:0.7769, P07-1035:0.7767, P07-1036:0.7714, P08-1099:0.7668, E09-1042:0.7649
